MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_21,tone_count_21,goldstein_21,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_55,tone_count_55,goldstein_55,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,tone_count_62,goldstein_62,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_75,tone_count_75,goldstein_75,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_104,tone_count_104,goldstein_104,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_129,tone_count_129,goldstein_129,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_161,tone_count_161,goldstein_161,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,1.5419999999999998,117,621.1529718977963,4.0,10.30174112887032,-0.4,19.0,103.7393215511606,-7.600000000000002,18.0,70.82419141604167,7.200000000000002,5.0,28.43580167033377,0.0,0.0,2.0,9.34527759345278,-4.0,11.0,56.157874873536244,0.0,0.0,0.0,28,157.06754081529053,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2846715328467204,-0.3,4.0,15.858083801921511,16.0,10,68.17184342386427,40.0,8.0,50.79164144965314,41.6,3.0,25.8166744588898,15.6,5.0,22.72447602968678,35.0,62.0,228.87739674761647,248.0,85,444.60218740867884,85.0,36,171.2873682982237,68.39999999999998,35,168.96069188012856,97.99999999999994,44,259.6060419191384,308.0,2.0,12.616883116883118,7.0,47,289.26591893234644,159.8000000000001,1.0,6.635071090047389,7.0,10.0,66.97666942018043,80.0,7.0,45.647876744143716,42.0,2.0,11.522633744855963,12.8,0.0,0.0,0.0,8,39.902335194681726,56.0,6.0,30.560880844084068,44.4,1.0,6.04229607250755,8.3,0.0,0.0,0.0,1.0,6.18181818181818,7.0,8,45.4885834044654,40.0,2.0,18.23899371069182,10.0,7.0,43.63575877696505,35.0,7.0,43.058426192331545,49.0,1.0,6.61157024793388,10.0,13,64.21122457443681,-26.0,9.0,44.12042096335848,-45.0,2.0,6.717328079557179,-10.0,32,130.8521073170339,-64.0,25,110.9426236318446,-50.0,37.0,146.0897861017906,-74.0,8.0,62.94138308642742,-16.0,19.0,91.92586228664423,-76.0,6.0,29.901556415426203,-30.0,4.0,16.58295878848968,-20.0,0.0,0.0,0.0,4.0,16.95106674013097,-17.6,0.0,0.0,0.0,2.0,17.84189512909237,-13.0,10.0,53.575681071450965,-72.00000000000001,4.0,18.88699298577154,-16.0,2.0,6.105073850156879,-8.0,2.0,4.1025641025641,-18.4,3.0,10.97970338322155,-15.0,27,93.12622045961643,-135.0,1.0,4.39189189189189,-5.0,0.0,0.0,0.0,3.0,9.722222222222227,-28.5,24.0,79.51675454631453,-240.0,0.0,0.0,0.0,8.0,7.364153680217204,-80.0
200802,1.5409166666666665,54,289.0160217663156,2.0,6.68559318645288,-0.2,13.0,75.73041888005699,-5.2,15.0,80.62425151086735,6.000000000000001,9.0,53.70121877138085,1.0,7.45341614906832,3.0,11.415139826422381,-6.0,0.0,0.0,3.0,14.204545454545439,10.2,44,225.66934363861526,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.61422467956773,8.0,13,80.22434256315951,52.0,1.0,5.734767025089611,5.2,6.0,45.75033483537368,32.8,0.0,0.0,0.0,21.0,114.70151710557556,84.0,50,274.91536073373254,50.0,47,243.1649800126883,89.30000000000003,36,181.99119762833809,100.79999999999994,22,115.51014385338978,154.0,1.0,10.2204408817635,3.5,39,247.8496888225616,132.60000000000008,0.0,0.0,0.0,7.0,97.09037340966823,56.0,4.0,21.209513378188085,24.0,1.0,6.793478260869559,6.4,0.0,0.0,0.0,1,6.00522193211488,7.0,5.0,23.82119062970127,37.0,0.0,0.0,0.0,1.0,8.0,7.4,0.0,0.0,0.0,2,12.43776920064888,10.0,2.0,16.840325582932223,10.0,2.0,8.69565217391304,10.0,7.0,47.1278410859954,49.0,11.0,41.754865415036825,110.0,7,29.365005532762677,-14.0,7.0,45.448444447840856,-35.0,3.0,16.74570012035968,-15.0,16,76.15815447302536,-32.0,16,33.257927389088486,-32.0,22.0,104.22214216197744,-44.0,2.0,12.605377584523922,-4.0,24.0,130.00695530363456,-96.0,0.0,0.0,0.0,1.0,6.10412926391382,-5.0,0.0,0.0,0.0,6.0,32.77938370685513,-26.4,0.0,0.0,0.0,6.0,37.07822725188613,-39.0,0.0,0.0,0.0,1.0,9.006211180124222,-4.0,1.0,5.9405940594059405,-4.0,2.0,12.96928327645052,-18.4,2.0,13.686215860128913,-10.0,25,72.20124145737363,-125.0,1.0,3.39233038348083,-5.0,0.0,0.0,0.0,2.0,4.1958041958042,-18.0,8.0,38.88569613974597,-80.0,0.0,0.0,0.0,3.0,2.2493939074523004,-30.0
200803,1.5398333333333332,69,332.2944401477236,7.0,25.49559951043292,-0.7,17.0,84.65787681386453,-6.8000000000000025,4.0,25.9804230851838,1.6,11.0,69.4734959592105,0.0,0.0,6.0,13.060270425759962,-12.0,4.0,17.97334244702666,0.0,0.0,0.0,38,178.9358628285799,114.0,3.0,16.45445641527915,10.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.470439899131419,-1.2,2.0,17.02127659574468,8.0,6,34.6348900406456,24.0,6.0,13.84600820416459,31.2,5.0,42.74649618883698,26.0,2.0,6.38297872340426,14.0,43.0,235.67975055185374,172.0,66,308.62720247128544,66.0,49,219.2681231213489,93.10000000000002,45,182.1170827356651,125.99999999999993,12,65.01681563319215,84.0,22.0,142.2642679397253,77.0,25,148.9755971354744,85.00000000000001,0.0,0.0,0.0,18.0,137.9094680196188,144.0,9.0,28.170677267991987,54.0,4.0,35.14211886304908,25.6,0.0,0.0,0.0,3,15.227830668822241,21.0,7.0,23.93059655803874,51.8,0.0,0.0,0.0,1.0,2.5597269624573395,7.4,0.0,0.0,0.0,8,40.17065858648685,40.0,0.0,0.0,0.0,2.0,13.305818195750561,10.0,4.0,14.24001975975816,28.0,8.0,21.53674567535818,80.0,6,27.52816956280209,-12.0,5.0,22.508944166667565,-25.0,2.0,6.4,-10.0,25,117.55645947254801,-50.0,13,32.01320574627423,-26.0,9.0,47.106740533516394,-18.0,1.0,3.7323037323037305,-2.0,23.0,126.25502348753409,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.33882964401198,-10.0,4.0,15.012793973894544,-17.6,0.0,0.0,0.0,13.0,56.51132125131849,-84.5,2.0,6.4,-14.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6960784313725497,-9.2,7.0,34.29212164903752,-35.0,6,28.226954731507558,-30.0,0.0,0.0,0.0,1.0,3.51906158357771,-9.0,1.0,4.60652591170825,-9.0,10.0,-60.66738527357949,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.5387499999999998,63,328.2457151188239,2.0,10.846560846560841,-0.2,4.0,19.09608847128563,-1.6,15.0,80.92840293781524,6.000000000000001,5.0,31.33297696601655,2.0,10.7108081791626,7.0,29.17855663836054,-14.0,3.0,18.35669718823434,0.0,0.0,0.0,25,156.21076852234052,75.0,2.0,10.662358642972539,6.8,1.0,8.56031128404669,3.2,1.0,2.18181818181818,3.4,4.0,26.16804171738576,-1.2,2.0,12.20350160614377,8.0,17,119.59113565685031,68.0,3.0,15.66339066339066,15.6,0.0,0.0,0.0,1.0,7.55555555555556,7.0,20.0,102.26990126007034,80.0,72,391.54482027747537,72.0,30,117.39308972289484,56.99999999999997,27,103.18271223423737,75.59999999999997,26,136.65295303982978,182.0,0.0,0.0,0.0,42,269.67492171962755,142.8000000000001,2.0,12.688078703703699,14.0,44.0,235.919361033713,352.0,5.0,24.34295318554072,30.0,5.0,13.03627407075682,32.0,0.0,0.0,0.0,2,10.14217151136466,14.0,8.0,39.80799896573646,59.2,1.0,3.7037037037037,8.3,0.0,0.0,0.0,0.0,0.0,0.0,7,36.765908768666385,35.0,0.0,0.0,0.0,1.0,7.35294117647059,5.0,5.0,27.600324188792218,35.0,2.0,10.526957308794689,20.0,5,17.06801589155478,-10.0,6.0,28.850739559787954,-30.0,1.0,6.73076923076923,-5.0,13,72.06865261299606,-26.0,25,149.92420386703498,-50.0,11.0,53.988674763541916,-22.0,6.0,32.734406813897394,-12.0,20.0,115.43218585351576,-80.0,1.0,3.2994923857867997,-5.0,0.0,0.0,0.0,2.0,9.264305177111721,-10.0,3.0,16.232026849774922,-13.2,0.0,0.0,0.0,10.0,60.13228184967036,-65.0,1.0,4.01267159450898,-7.2,7.0,42.15970709747924,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.38830918599705,-15.0,12,47.7942306256947,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,33.66842894916998,-120.0,0.0,0.0,0.0,5.0,2.16450216450216,-50.0
200805,1.5376666666666663,48,270.4673906149618,1.0,7.22021660649819,-0.1,5.0,20.046341093929247,-2.0,9.0,51.60978095608088,3.6,3.0,15.86129044037071,0.0,0.0,1.0,2.65486725663717,-2.0,4.0,27.85109156076901,0.0,0.0,0.0,23,125.94325039832462,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.272582993017618,8.0,18,111.98105069886526,72.0,3.0,8.917954006977618,15.6,10.0,65.63239473564836,52.00000000000001,2.0,11.98819796508565,14.0,20.0,94.6265783548506,80.0,53,268.50074266469284,53.0,38,155.4387199480691,72.19999999999997,36,154.22110967545768,100.79999999999994,8,46.56947716002022,56.0,9.0,52.919471884749576,31.5,24,148.5682819954549,81.60000000000002,3.0,21.660649819494573,21.0,22.0,139.62305824273344,176.0,3.0,13.884348921429698,18.0,2.0,10.112359550561802,12.8,2.0,16.94915254237288,14.8,2,14.24469413233458,14.0,6.0,32.878745950598486,44.4,4.0,19.432950522601818,33.2,8.0,25.95738985113995,59.2,0.0,0.0,0.0,10,63.717328873850896,50.0,0.0,0.0,0.0,4.0,23.744292237442924,20.0,5.0,37.58029663725875,35.0,0.0,0.0,0.0,16,59.23782651693126,-32.0,6.0,36.71150094883099,-30.0,0.0,0.0,0.0,9,58.07973221170786,-18.0,8,37.05928290829202,-16.0,12.0,40.899757981395176,-24.0,5.0,20.566128920652254,-10.0,14.0,58.71729059422949,-56.0,4.0,11.6353407492648,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.80877742946709,-13.2,0.0,0.0,0.0,5.0,19.719930137577514,-32.5,8.0,20.197888761321607,-57.6,0.0,0.0,0.0,3.0,7.35424419634946,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12.578180183651181,-15.0,0.0,0.0,0.0,1.0,8.43971631205674,-9.0,1.0,5.13966480446927,-9.0,14.0,8.608874754413259,-140.0,1.0,4.87364620938628,-9.5,3.0,11.384063562238019,-30.0
200806,1.5365833333333332,46,204.2380665769347,2.0,8.06139058987675,-0.2,9.0,51.54113352388693,-3.6,5.0,18.19030606844198,2.0,13.0,54.35089421035429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,115.20811999477993,66.0,1.0,2.11132437619962,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.01503759398496,4.0,9,44.483648073520136,36.0,2.0,7.728212868243049,10.4,1.0,3.2846715328467204,5.2,0.0,0.0,0.0,17.0,86.0353135933168,68.0,35,171.62102952325046,35.0,29,152.2132205255999,55.09999999999997,29,153.1837605086469,81.19999999999995,21,114.07158554619012,147.0,15.0,85.66194175905483,52.5,25,147.539981722157,85.00000000000001,1.0,3.2044198895027596,7.0,7.0,30.610838287240448,56.0,11.0,68.20057089804857,66.0,1.0,3.90977443609023,6.4,0.0,0.0,0.0,6,30.44127793843072,42.0,8.0,48.53270849796577,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9.19690530674512,10.0,0.0,0.0,0.0,16.0,78.9991011622072,80.0,0.0,0.0,0.0,1.0,4.89662676822633,10.0,14,54.21193869704543,-28.0,4.0,27.163975072309352,-20.0,0.0,0.0,0.0,6,35.72737380929075,-12.0,7,31.66845106602472,-14.0,2.0,12.93103448275862,-4.0,2.0,5.91987197276646,-4.0,19.0,99.19098770258397,-76.0,0.0,0.0,0.0,2.0,10.68702290076336,-10.0,0.0,0.0,0.0,1.0,3.29457364341085,-4.4,1.0,3.75782881002088,-7.0,2.0,13.11396449126914,-13.0,11.0,49.417422281329344,-79.20000000000002,0.0,0.0,0.0,4.0,28.040739748056826,-16.0,3.0,5.76923076923076,-27.6,3.0,17.15254014214267,-15.0,15,37.327414154742286,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.795698924731179,-27.5,5.0,6.38725526688007,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.5355,83,414.27275730568635,3.0,9.9297893681043,-0.30000000000000004,10.0,68.48838880227309,-4.0,8.0,44.53420875343404,3.2,6.0,31.19059887420104,4.0,31.865071457416814,9.0,42.098345069061374,-18.0,0.0,0.0,0.0,0.0,0.0,60,371.55253115284034,180.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.29590017825312,3.4,0.0,0.0,0.0,4.0,31.96054195111143,16.0,13,71.16585338959821,52.0,4.0,11.54094132817538,20.8,0.0,0.0,0.0,0.0,0.0,0.0,31.0,144.55738693032558,124.0,32,176.86445351963988,32.0,49,285.87278533545907,93.10000000000004,46,258.44613020601344,128.79999999999993,26,135.63388620227943,182.0,10.0,66.03279647552645,35.0,34,227.85905116385632,115.60000000000008,1.0,5.12048192771084,7.0,9.0,56.928751292863495,72.0,12.0,59.642620174197255,72.0,6.0,48.32214765100668,38.4,0.0,0.0,0.0,3,16.75452005783257,21.0,4.0,26.30622373929081,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.74660912210492,25.0,0.0,0.0,0.0,4.0,21.533488967251877,20.0,1.0,4.26008968609865,7.0,0.0,0.0,0.0,9,31.30220294129799,-18.0,9.0,43.740604939196814,-45.0,0.0,0.0,0.0,15,77.01150946246977,-30.0,4,20.559684419030603,-8.0,20.0,96.2637837852144,-40.0,9.0,59.777444544932834,-18.0,38.0,136.24253382131567,-152.0,0.0,0.0,0.0,3.0,22.338037074743408,-15.0,9.0,44.88121566669045,-45.0,4.0,22.47376489977386,-17.6,0.0,0.0,0.0,8.0,47.51917820965931,-52.0,1.0,3.6290322580645196,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.537268206458661,-10.0,21,65.78817566170949,-105.0,4.0,5.1054018445322775,-20.0,2.0,10.24096385542168,-18.0,2.0,2.17391304347826,-19.0,6.0,23.131633514778265,-60.0,0.0,0.0,0.0,2.0,10.17925736235596,-20.0
200808,1.5344166666666663,43,203.9473606253082,0.0,0.0,0.0,9.0,29.40245158096991,-3.6,6.0,31.902480051581122,2.4,4.0,19.61635701377379,0.0,0.0,1.0,8.60215053763441,-2.0,14.0,49.23110249477061,0.0,0.0,0.0,32,183.3374241137232,96.0,0.0,0.0,0.0,7.0,33.82339502671991,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,181.3626605489696,136.0,7.0,29.812984992675446,36.4,2.0,10.79273585441272,10.4,0.0,0.0,0.0,16.0,71.60552343076894,64.0,35,184.48567329314707,35.0,30,200.27999603223918,56.99999999999997,33,203.07349208729457,92.39999999999992,31,140.38261766813008,217.0,7.0,63.53568972280353,24.5,21,124.38057390207399,71.39999999999998,0.0,0.0,0.0,24.0,151.26748695818932,192.0,4.0,14.13485677947357,24.0,3.0,33.700986977389,19.200000000000006,2.0,10.38543897216274,14.8,8,57.62639921176315,56.0,6.0,33.0765358848262,44.4,1.0,2.94117647058824,8.3,10.0,56.23607721943417,74.0,0.0,0.0,0.0,4,25.43471526768018,20.0,0.0,0.0,0.0,2.0,15.78276699029126,10.0,11.0,58.694770205198225,77.0,4.0,20.77087794432548,40.0,5,34.12361074611501,-10.0,4.0,26.028929741142413,-20.0,2.0,11.90223166843784,-10.0,34,180.11528129661002,-68.0,8,38.228502747023136,-16.0,6.0,25.44909184862945,-12.0,4.0,26.907253211504923,-8.0,11.0,68.81792312686721,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.091211834684373,-22.0,4.0,16.281473941580128,-28.0,4.0,24.752873936481127,-26.0,0.0,0.0,0.0,1.0,4.35374149659864,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,59.647323824507744,-60.0,8,42.59880647768827,-40.0,3.0,14.24213620464358,-15.0,4.0,16.39779101621952,-36.0,1.0,4.16666666666667,-9.5,11.0,69.42714321160611,-110.0,10.0,44.424036566548644,-95.0,1.0,3.44827586206897,-10.0
200809,1.5333333333333332,55,279.8678398465852,0.0,0.0,0.0,12.0,63.04136077052743,-4.8,8.0,37.922284134849946,3.2,5.0,18.001691798884174,0.0,0.0,1.0,2.17983651226158,-2.0,3.0,4.9723756906077305,0.0,0.0,0.0,25,131.3471440922352,75.0,1.0,4.7887323943662,3.4,3.0,12.442613846723427,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.214785651793528,8.0,7,40.822356764157206,28.0,4.0,11.89083889149715,20.8,1.0,7.26643598615917,5.2,1.0,6.0672514619883,7.0,28.0,122.2512827481147,112.0,63,233.50620092601415,63.0,21,79.00965829548167,39.899999999999984,22,80.87555258983271,61.59999999999997,32,165.41701307944015,224.0,19.0,133.46592722630066,66.5,26,166.21846322418466,88.4,0.0,0.0,0.0,3.0,15.60058833142671,24.0,3.0,17.12505634373113,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3,17.15728715728715,21.0,12.0,68.43386055546705,88.80000000000003,1.0,9.63855421686747,8.3,4.0,17.263895524765086,29.6,0.0,0.0,0.0,2,9.92832087845051,10.0,0.0,0.0,0.0,1.0,4.91228070175439,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8.06142034548944,-4.0,8.0,42.443367279134954,-40.0,2.0,11.764705882352938,-10.0,13,59.86490227735016,-26.0,13,54.548233565093206,-26.0,12.0,50.42178132129686,-24.0,2.0,11.66666666666666,-4.0,16.0,84.34013550291787,-64.0,1.0,6.418918918918919,-5.0,2.0,3.833611311642725,-10.0,0.0,0.0,0.0,3.0,13.39459927413178,-13.2,0.0,0.0,0.0,4.0,13.2780082987552,-26.0,1.0,7.322654462242559,-7.2,1.0,1.931330472103,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.54585694133966,-20.0,9,36.907263835216455,-45.0,1.0,5.74792243767313,-5.0,0.0,0.0,0.0,2.0,17.5,-19.0,2.0,5.179608639260139,-20.0,1.0,0.7194244604316551,-9.5,2.0,3.11284046692608,-20.0
200810,1.53225,60,292.03967953891146,8.0,29.90811960532726,-0.7999999999999999,9.0,45.08078662064887,-3.6,8.0,43.2382517416008,3.2,3.0,15.75208384115,4.0,12.59363923747484,2.0,8.8244218545012,-4.0,7.0,39.8532671877751,0.0,0.0,0.0,31,165.953662608367,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8237082066869301,-0.3,5.0,26.21151058955539,20.0,9,48.009509582575205,36.0,5.0,22.10241524110136,26.0,2.0,11.961639058413251,10.4,4.0,19.612717214240888,28.0,48.0,266.8096034081231,192.0,76,438.41104977410464,76.0,49,273.74435829857083,93.10000000000008,49,274.6617541783123,137.19999999999993,39,252.22624328893903,273.0,2.0,7.89140271493212,7.0,30,188.44278085180005,102.00000000000004,1.0,4.31472081218274,7.0,15.0,93.96102940645642,120.0,14.0,76.45021145028277,84.0,2.0,6.2635628329059,12.8,0.0,0.0,0.0,9,65.75938704360512,63.0,9.0,63.525942676141526,66.6,0.0,0.0,0.0,2.0,18.37160751565762,14.8,0.0,0.0,0.0,7,40.49789219649094,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.236188092258187,21.0,2.0,6.1099796334012195,20.0,7,33.95248377334293,-14.0,9.0,39.57100851729609,-45.0,0.0,0.0,0.0,3,16.24436090225564,-6.0,7,24.720987825867148,-14.0,12.0,57.05100682724485,-24.0,1.0,2.88461538461538,-2.0,22.0,111.37405759676531,-88.0,0.0,0.0,0.0,4.0,22.312896907828367,-20.0,0.0,0.0,0.0,2.0,11.06937693327442,-8.8,1.0,4.1537507749535,-7.0,2.0,15.10859301227574,-13.0,1.0,6.3768115942029,-7.2,1.0,6.6543438077634,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.007770077700762,-15.0,17,86.36581557053509,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.320010552556955,-120.0,3.0,13.62273724304008,-28.5,6.0,25.757575757575736,-60.0
