MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_44,tone_count_44,goldstein_44,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_54,tone_count_54,goldstein_54,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_73,tone_count_73,goldstein_73,event_count_75,tone_count_75,goldstein_75,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_125,tone_count_125,goldstein_125,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_180,tone_count_180,goldstein_180,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,1.881,25,94.88511980263294,5.0,31.157748157656087,-2.0,2.0,9.7732264676964,0.8,3.0,7.848210079102022,4.0,22.06543734569582,3.0,21.55256916996047,9.0,52.819449615465714,27.0,1.0,2.67639902676399,3.4,0.0,0.0,0.0,5.0,28.687174985702683,20.0,1.0,7.766990291262139,5.2,2.0,12.117452440033093,10.4,0.0,0.0,0.0,3.0,5.35714285714287,12.0,11,57.04371308015587,11.0,23.0,104.30504912561645,43.69999999999998,23.0,108.03366897934464,64.39999999999998,0.0,0.0,0.0,66.0,557.818679444245,462.0,0.0,0.0,0.0,9,43.572122535892476,30.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.96820709124794,30.0,0.0,0.0,0.0,2.0,9.806711409395973,14.0,0.0,0.0,0.0,7.0,25.80764925144176,51.8,4.0,22.16889001731713,28.0,4.0,22.60033836282421,20.0,1.0,1.9565217391304401,5.0,12.0,38.016782955708436,60.0,7.0,38.51716456472156,49.0,0.0,0.0,0.0,10.0,40.79408693340829,-20.0,0.0,0.0,0.0,11.0,33.4522858975105,-22.0,4.0,16.48094053698528,-8.0,6.0,22.062903659204878,-12.0,2.0,6.460834095618568,-4.0,7.0,27.269574639073337,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,44.730688668104975,-71.5,12.0,39.038485523309284,-48.0,0.0,0.0,0.0,13.0,52.85397023620157,-65.0,9,27.86349368247437,-45.0,0.0,0.0,0.0,2.0,5.91766481351236,-18.5,5.0,20.86496286213,-50.0,2.0,7.434944237918219,-19.0,0.0,0.0,0.0
200802,1.88275,12,51.86986091656298,3.0,10.69454265614352,-1.2000000000000002,3.0,10.32861595993225,1.2000000000000002,1.0,3.87595120645482,1.0,6.31313131313131,2.0,15.053763440860221,6.0,33.844045924990766,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.40782122905028,10.4,0.0,0.0,0.0,14.0,74.12512172313552,56.0,9,66.21006036279279,9.0,15.0,101.8476194932718,28.499999999999996,18.0,105.9678942470672,50.399999999999984,0.0,0.0,0.0,2.0,5.36078828502998,14.0,2.0,14.438502673796801,7.0,6,38.304647300237725,20.4,0.0,0.0,0.0,2.0,13.27800829875518,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.001966550181649,14.0,0.0,0.0,0.0,6.0,17.867642970270722,44.4,1.0,5.71428571428571,7.0,2.0,7.52841313630709,10.0,3.0,20.35398230088495,15.0,0.0,0.0,0.0,2.0,5.18794359190616,14.0,0.0,0.0,0.0,12.0,61.77423188978359,-24.0,0.0,0.0,0.0,4.0,16.815706444265413,-8.0,1.0,6.092124814264491,-2.0,10.0,45.95465808836642,-20.0,0.0,0.0,0.0,3.0,23.35013675946301,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.956276369890621,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.46226269486031,-10.0,13,44.07348855716614,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.16770188862763,-70.0,0.0,0.0,0.0,3.0,16.270314615450438,-30.0
200803,1.8845,93,587.8105370099004,21.0,116.88985489291599,-8.400000000000002,14.0,90.55121693321738,5.6000000000000005,31.0,182.92175422575187,9.0,42.06339906255052,4.0,19.150503171722832,64.0,460.1671185726766,192.0,4.0,20.42106111904563,13.6,1.0,4.0284360189573505,4.0,9.0,58.759471522737314,36.0,3.0,28.58890448527252,15.6,3.0,16.45145900193829,15.6,2.0,8.12645540143769,14.0,40.0,205.01394278933742,160.0,13,77.8895787378563,13.0,63.0,346.1106459294508,119.70000000000007,55.0,296.6453310470402,154.00000000000003,0.0,0.0,0.0,25.0,145.6048739149416,175.0,6.0,45.32462953805012,21.0,58,388.5989347916885,197.2000000000002,0.0,0.0,0.0,1.0,5.3941908713692905,8.0,9.0,55.31568749183629,54.0,4.0,10.778026243618418,25.6,6.0,44.20987997790533,42.0,5.0,29.789825481497,37.0,1.0,1.06894690278089,7.4,11.0,53.61555590959912,77.0,22.0,138.2645598370972,110.0,1.0,5.92790893370692,5.0,19.0,108.20223651471031,95.0,27.0,154.28083802939182,189.0,2.0,11.27498604684869,20.0,12.0,80.28648736901259,-24.0,9.0,55.24053010945268,-45.0,15.0,79.13832967904365,-30.0,3.0,21.217738953437642,-6.0,11.0,50.64720444362031,-22.0,4.0,27.869813643847607,-8.0,28.0,177.26913495763236,-112.0,2.0,5.0179211469534,-10.0,1.0,6.346153846153849,-4.4,5.0,36.29246695082201,-32.5,8.0,62.428985812733536,-32.0,11.0,42.87836524685564,-101.20000000000002,22.0,139.4460327698312,-110.0,13,60.21145564085656,-65.0,0.0,0.0,0.0,6.0,18.51544232486955,-57.0,28.0,128.69451404445314,-280.0,2.0,11.26710807185998,-19.0,1.0,4.72145397076254,-10.0
200804,1.88625,23,119.70342670570179,6.0,33.97559518301104,-2.4,5.0,49.218893921516326,2.0,2.0,11.81830647071289,1.0,7.97101449275362,2.0,12.950513538748838,10.0,82.69485088675644,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.26271186440678,7.0,2.0,10.83403060004782,8.0,12,63.744696020574395,12.0,23.0,119.03979098436639,43.69999999999998,19.0,101.86375133773858,53.19999999999998,0.0,0.0,0.0,4.0,26.36283961437336,28.0,5.0,31.529506281040028,17.5,9,87.88812460955134,30.599999999999994,0.0,0.0,0.0,2.0,10.112359550561802,16.0,3.0,15.24554776038857,18.0,1.0,3.31491712707182,6.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.19227313566936,14.8,2.0,9.41777520724889,14.0,3.0,23.339700547966352,15.0,6.0,33.36194558901973,30.0,0.0,0.0,0.0,4.0,22.66139289013806,28.0,3.0,12.76595744680851,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.78121783929353,-4.0,3.0,13.7772890223082,-6.0,7.0,29.216094608361534,-14.0,0.0,0.0,0.0,7.0,33.06149124273972,-28.0,0.0,0.0,0.0,1.0,2.8508771929824595,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.369127516778519,-18.4,1.0,2.0,-5.0,16,59.47298475659853,-80.0,0.0,0.0,0.0,8.0,31.462235443314253,-72.0,3.0,7.937116649107349,-30.0,1.0,1.8306636155606397,-9.5,3.0,18.141654978962126,-30.0
200805,1.8880000000000001,48,336.49282109517463,4.0,26.30894375030568,-1.6,6.0,56.78948630693299,2.4,5.0,33.83113458332536,0.0,0.0,2.0,15.4158215010142,9.0,47.47457061738164,27.0,2.0,4.9469964664310995,6.8,12.0,77.71649453964078,48.0,8.0,59.85200392637951,32.0,9.0,67.30687710749642,46.8,7.0,42.41044483710743,36.4,0.0,0.0,0.0,64.0,403.08014119369744,256.0,19,112.24121969897536,19.0,69.0,441.6579099269077,131.10000000000008,62.0,391.0919431970179,173.60000000000008,0.0,0.0,0.0,29.0,164.13197698262502,203.0,7.0,32.98347615947782,24.5,50,369.546868108599,170.00000000000014,2.0,16.54850218535854,12.0,2.0,11.639758801789538,16.0,10.0,79.81960653050109,60.0,5.0,23.306390978239055,32.0,2.0,13.218392589480839,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,54.215367385558274,56.0,6.0,40.13522940460654,30.0,1.0,3.9301310043668103,5.0,1.0,7.389937106918241,5.0,2.0,18.856309764029643,14.0,0.0,0.0,0.0,8.0,52.59439413087468,-16.0,1.0,9.85221674876847,-5.0,0.0,0.0,0.0,1.0,2.83687943262411,-2.0,2.0,8.035714285714281,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.242339832869081,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.856301426098142,-20.0,0.0,0.0,0.0,3.0,15.302940217858788,-15.0,4,10.30927835051548,-20.0,2.0,4.9469964664310995,-18.0,0.0,0.0,0.0,5.0,21.70865840899272,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,1.88975,14,84.10782086910979,0.0,0.0,0.0,2.0,11.611583776627368,0.8,1.0,6.76416819012797,0.0,0.0,2.0,12.6984126984127,13.0,76.86264697270956,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.395683453237409,4.0,0.0,0.0,0.0,2.0,15.267175572519081,10.4,1.0,5.395683453237409,7.0,5.0,37.81401093750918,20.0,3,12.31449525452976,3.0,15.0,86.38368421881388,28.5,14.0,77.78100989365585,39.2,0.0,0.0,0.0,8.0,74.62293461142833,56.0,0.0,0.0,0.0,4,29.939829192546593,13.6,0.0,0.0,0.0,1.0,7.6335877862595405,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.84232159479683,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.59188544152744,14.0,12.0,50.737394574084675,60.0,2.0,11.449095863264802,10.0,0.0,0.0,0.0,11.0,49.58149708488836,77.0,2.0,7.243922631143218,18.0,5.0,20.078561264574372,-10.0,2.0,8.73015873015872,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.42105263157894,-4.0,1.0,1.09289617486339,-4.0,0.0,0.0,0.0,3.0,11.748120300751882,-13.2,4.0,15.79239699157226,-26.0,0.0,0.0,0.0,2.0,15.00936418377507,-18.4,2.0,5.872756933115821,-10.0,7,25.195474624358816,-35.0,0.0,0.0,0.0,1.0,1.40845070422535,-9.5,3.0,5.7842604588958,-30.0,1.0,4.63821892393321,-9.5,0.0,0.0,0.0
200807,1.8915,16,105.68370524601185,7.0,44.78212388078542,-2.8,3.0,17.446024202788326,1.2000000000000002,6.0,43.026315789473706,0.0,0.0,1.0,10.03861003861,20.0,132.6007793547833,60.0,1.0,6.211180124223599,3.4,0.0,0.0,0.0,4.0,24.20646570161487,16.0,0.0,0.0,0.0,1.0,6.9736842105263195,5.2,0.0,0.0,0.0,58.0,273.14450245069384,232.0,15,127.70167768481457,15.0,14.0,79.21417897529267,26.599999999999994,22.0,129.45744547933614,61.59999999999997,0.0,0.0,0.0,20.0,127.36949766047708,140.0,0.0,0.0,0.0,16,124.0074650266148,54.399999999999984,0.0,0.0,0.0,7.0,36.553912140923956,56.0,0.0,0.0,0.0,2.0,11.8321530086236,12.8,1.0,0.49443757725587,7.0,9.0,96.67935947427574,66.6,1.0,2.2132796780684103,7.4,3.0,4.10958904109589,21.0,15.0,84.81796448818012,75.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.92105263157896,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.66489258129422,-10.0,5.0,32.26086884221443,-10.0,0.0,0.0,0.0,6.0,38.563618509586895,-12.0,0.0,0.0,0.0,6.0,31.67583465653127,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.577762353959066,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.13427855547645,-35.0,2,6.4343163538874,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.538710353709302,-40.0,0.0,0.0,0.0,2.0,11.1731843575419,-20.0
200808,1.89325,2,10.61224489795918,6.0,29.55202032505257,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6439628482972095,3.0,19.21633284481355,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.392762738127796,12.0,2.0,16.01357955593123,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.966480446927381,8.0,17,98.27987374207436,17.0,18.0,120.58483542546502,34.19999999999999,15.0,112.9928834797154,41.99999999999999,0.0,0.0,0.0,14.0,66.33873906812656,98.0,1.0,4.5145434275869105,3.5,9,60.39428173358837,30.599999999999994,0.0,0.0,0.0,11.0,61.87311523296624,88.0,0.0,0.0,0.0,2.0,0.7067137809187279,12.8,3.0,20.43262388918757,21.0,3.0,15.48877872232436,22.200000000000006,3.0,15.71580192391582,22.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.084662014161292,21.0,0.0,0.0,0.0,8.0,36.38880168513956,-16.0,1.0,7.97101449275362,-5.0,0.0,0.0,0.0,3.0,20.28641794966174,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.689447332375327,-32.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9535864978902997,-5.0,5,26.07253427686863,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.325619577787485,-30.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.895,7,29.21750527896788,1.0,3.5940803382663797,-0.4,1.0,5.1490514905149105,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.19930274679631,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.692307692307691,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.695264735145642,16.0,14,87.64371786573969,14.0,13.0,109.68691427458229,24.7,13.0,112.46856637391804,36.4,0.0,0.0,0.0,4.0,30.769230769230763,28.0,0.0,0.0,0.0,4,31.68698792217331,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.56712072302047,19.200000000000006,0.0,0.0,0.0,1.0,4.90506329113924,7.4,0.0,0.0,0.0,4.0,29.767899371995806,28.0,3.0,15.78311774379617,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.208752983052218,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.93005967634306,-5.0,0.0,0.0,0.0,1.0,8.37988826815642,-2.0,3.0,15.447154471544726,-6.0,1.0,4.04040404040404,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.326118326118318,-13.2,5.0,9.67901536829328,-32.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.616161616161618,-15.0,6,29.33933779084093,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.89675,8,51.326990841867044,3.0,11.179457137277879,-1.2000000000000002,1.0,8.49194729136164,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.997794282643326,18.0,0.0,0.0,0.0,1.0,2.77777777777778,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.176084099868589,7.0,8.0,65.46658889722134,32.0,16,97.9087224906464,16.0,19.0,152.1376628037215,36.09999999999999,21.0,177.95748068458656,58.79999999999998,0.0,0.0,0.0,13.0,50.584238865682465,91.0,2.0,16.319731100365612,7.0,10,96.49235106688936,33.99999999999999,0.0,0.0,0.0,2.0,7.5801749271137,16.0,1.0,4.19847328244275,6.0,1.0,7.228915662650599,6.4,0.0,0.0,0.0,1.0,12.8888888888889,7.4,1.0,6.418219461697721,7.4,2.0,13.9344262295082,14.0,2.0,16.98389458272328,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.729533941188297,42.0,0.0,0.0,0.0,3.0,13.260822003438038,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.05158069785176,-2.0,2.0,16.98389458272328,-4.0,1.0,2.9723991507431,-2.0,1.0,2.20994475138122,-4.0,0.0,0.0,0.0,1.0,5.03903477643719,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.18181818181818,-9.2,2.0,6.089411020644751,-10.0,4,16.453414926426852,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.32498258276762,-20.0,0.0,0.0,0.0,3.0,10.32498258276762,-30.0
