MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_20,tone_count_20,goldstein_20,event_count_30,tone_count_30,goldstein_30,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_80,tone_count_80,goldstein_80,event_count_84,tone_count_84,goldstein_84,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_173,tone_count_173,goldstein_173,event_count_190,tone_count_190,goldstein_190
200801,2.476,12.0,66.60849990483727,1.0,4.91400491400491,-0.4,6.0,17.47335779248139,2.4,9.0,40.36399018000293,27.0,4.0,53.781512605041996,16.0,1.0,4.90045941807044,4.0,1.0,7.86581839213418,1.0,13,69.37894028446378,24.7,9.0,67.06635818884516,25.200000000000006,2.0,4.90925708317012,14.0,1.0,13.445378151260499,3.5,6.0,45.77474340446634,20.4,30.0,112.58278145695346,240.0,10.0,18.20086318218063,60.0,0.0,0.0,0.0,2.0,26.890756302520998,14.8,6.0,16.300737609455208,30.0,0.0,0.0,0.0,1.0,6.937799043062201,-2.0,4.0,14.25576519916142,-20.0,1.0,5.85253456221198,-2.0,2.0,5.809128630705401,-4.0,2.0,1.9165373826649736,-4.0,3.0,16.904606825761398,-12.0,0.0,0.0,0.0,30.0,70.49596197295664,-150.0,3.0,2.328797067779636,-30.0
200802,2.475,9.0,26.61868131103653,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.539880201765435,12.0,2.0,7.4766355140187,8.0,4.0,16.86011456135063,16.0,2.0,8.54430379746836,2.0,2,7.6923076923077,3.8,3.0,16.65288116901021,8.399999999999999,4.0,26.99386503067484,28.0,0.0,0.0,0.0,6.0,55.16890941354314,20.4,3.0,19.48955916473319,24.0,1.0,4.0480769230769305,6.0,0.0,0.0,0.0,2.0,11.42857142857142,14.8,1.0,3.73831775700935,5.0,0.0,0.0,0.0,3.0,8.06804539391246,-6.0,1.0,4.0480769230769305,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.60226644555003,-2.0,0.0,0.0,0.0,1.0,3.57295966487427,-4.4,5.0,15.069368572699528,-25.0,0.0,0.0,0.0
200803,2.474,14.0,102.37091555232851,6.0,35.464962339700534,-2.4,3.0,24.746647423809883,1.2000000000000002,6.0,44.85687372278535,18.0,1.0,8.13953488372093,4.0,10.0,70.86730506155953,40.0,6.0,40.75701787655139,6.0,9,46.990605888049096,17.1,9.0,46.990605888049096,25.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,17.0,132.04127170814107,57.79999999999998,14.0,112.61905826588564,112.0,5.0,39.24543026354618,30.0,2.0,17.35228122662678,14.0,1.0,8.67614061331339,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.59863465160076,-4.0,2.0,14.95229124092845,-10.0,1.0,8.67614061331339,-2.0,0.0,0.0,0.0,2.0,9.49554896142433,-4.0,0.0,0.0,0.0,9.0,59.052255072577545,-39.6,5.0,36.19791336536391,-25.0,12.0,42.327275560490094,-120.0
200804,2.4730000000000003,8.0,34.23616871994973,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.350565208086074,9.0,1.0,10.6382978723404,4.0,2.0,11.3960113960114,8.0,8.0,55.64340503137906,8.0,19,129.45847127307576,36.09999999999999,17.0,111.55791878688791,47.59999999999999,8.0,37.569671553884255,56.0,0.0,0.0,0.0,13.0,79.83034522411323,44.19999999999999,20.0,72.42303701141462,160.0,3.0,13.08683007893643,18.0,0.0,0.0,0.0,3.0,15.390397560271962,22.200000000000006,0.0,0.0,0.0,8.0,34.04104367305598,56.0,2.0,1.9417475728155342,-4.0,0.0,0.0,0.0,4.0,19.13235493383952,-8.0,0.0,0.0,0.0,3.0,9.15527962184975,-6.0,1.0,3.0716723549488103,-4.0,0.0,0.0,0.0,12.0,48.46186572630536,-60.0,8.0,49.993946645250475,-80.0
200805,2.472,1.0,5.0761421319797,0.0,0.0,0.0,1.0,5.14851485148515,0.4,3.0,12.012432012432,9.0,4.0,11.98608475648323,16.0,2.0,5.22875816993464,8.0,6.0,59.055039894562256,6.0,7,62.34075418027653,13.3,8.0,64.89522543114246,22.4,0.0,0.0,0.0,8.0,52.234007217429856,28.0,3.0,27.206276919441336,10.2,4.0,54.4217687074828,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.22222222222222,-5.0,0.0,0.0,0.0,2.0,6.20525059665872,-4.0,1.0,3.10262529832936,-2.0,0.0,0.0,0.0,1.0,5.0761421319797,-4.4,2.0,8.55082946959007,-10.0,1.0,3.10262529832936,-10.0
200806,2.471,2.0,14.465257833597667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.87841191067,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.470998031197944,6.0,13,60.863042891413095,24.7,4.0,19.351066111591,11.2,2.0,11.368898014089,14.0,2.0,9.37931034482758,7.0,1.0,6.43776824034335,3.4,0.0,0.0,0.0,4.0,34.4463971880492,24.0,0.0,0.0,0.0,7.0,47.06328279499012,51.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.51150895140665,-2.0,1.0,3.80577427821522,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.142857142857139,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.41732283464566,-15.0,0.0,0.0,0.0
200807,2.47,13.0,49.9420151706768,2.0,16.0098500428071,-0.8,0.0,0.0,0.0,7.0,37.87238960860829,21.0,0.0,0.0,0.0,5.0,29.52633149907011,20.0,20.0,79.55084592144901,20.0,22,101.10280273030844,41.799999999999976,20.0,93.30299129354056,55.99999999999999,2.0,7.333333333333339,14.0,0.0,0.0,0.0,13.0,99.82117787616558,44.19999999999999,0.0,0.0,0.0,2.0,3.3195020746888,12.0,1.0,3.3388981636060096,7.0,1.0,6.06060606060606,7.4,0.0,0.0,0.0,7.0,25.779645065583658,49.0,11.0,46.38790968584281,-22.0,0.0,0.0,0.0,5.0,30.972948495401567,-10.0,0.0,0.0,0.0,3.0,13.780963158556519,-6.0,4.0,25.81345196400635,-16.0,4.0,20.667277340829877,-17.6,8.0,23.71996728792901,-40.0,2.0,6.54308302651482,-20.0
200808,2.469,19.0,60.6776482658001,7.0,34.94808987557067,-2.8,5.0,26.56551210981134,2.0,5.0,29.633932476382657,15.0,5.0,22.51714294215888,20.0,0.0,0.0,0.0,9.0,34.160282208400034,9.0,17,58.83638770827596,32.29999999999999,13.0,41.64968911838575,36.4,7.0,29.952380952380942,49.0,1.0,4.0650406504065,3.5,7.0,45.532445413552,23.8,0.0,0.0,0.0,10.0,33.22371026419929,60.0,8.0,65.12042718832367,56.0,7.0,47.572171858012005,51.8,4.0,16.9129743605268,20.0,4.0,14.29049505020022,28.0,8.0,30.333527305858325,-16.0,11.0,40.92198268552071,-55.0,1.0,6.14534628142109,-2.0,4.0,19.31565383114086,-8.0,12.0,56.73182979018285,-24.0,2.0,11.551684960333533,-8.0,7.0,41.40757202905501,-30.8,35.0,115.47855228859812,-175.0,6.0,32.19556481038311,-60.0
200809,2.468,15.0,62.317124045535536,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.22048821501377,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15.695499107372079,5.699999999999998,4.0,18.10642275117243,11.2,2.0,16.729202401372213,14.0,4.0,27.48340768142748,14.0,2.0,18.465909090909054,6.8,0.0,0.0,0.0,2.0,13.776468225171053,12.0,0.0,0.0,0.0,1.0,4.034582132564839,7.4,3.0,15.906030756147699,15.0,0.0,0.0,0.0,3.0,15.14245124379071,-6.0,4.0,12.660780215631918,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.208163758713784,-15.0,3.0,10.053658437785726,-30.0
200810,2.467,21.0,85.67894923657053,1.0,9.39457202505219,-0.4,4.0,26.595218506983198,1.6,1.0,5.49450549450549,3.0,0.0,0.0,0.0,12.0,62.305391397166346,48.0,10.0,35.81985920131849,10.0,3,13.608094489848847,5.699999999999998,3.0,13.608094489848847,8.399999999999999,10.0,60.82744248365914,70.0,1.0,4.95626822157434,3.5,11.0,60.39300191305043,37.39999999999999,4.0,36.30739222528686,32.0,3.0,0.8875739644970401,18.0,2.0,15.2400835073069,14.0,7.0,38.78414886658942,51.8,0.0,0.0,0.0,2.0,3.76472672513066,14.0,1.0,7.62004175365345,-2.0,0.0,0.0,0.0,1.0,6.4171122994652405,-2.0,1.0,7.62004175365345,-2.0,4.0,7.52945345026132,-8.0,1.0,3.8968048359240095,-4.0,6.0,26.67960545381588,-26.4,0.0,0.0,0.0,1.0,4.95626822157434,-10.0
