MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_21,tone_count_21,goldstein_21,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_32,tone_count_32,goldstein_32,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_41,tone_count_41,goldstein_41,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_55,tone_count_55,goldstein_55,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_101,tone_count_101,goldstein_101,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_124,tone_count_124,goldstein_124,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_161,goldstein_161,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_182,tone_count_182,goldstein_182,event_count_186,tone_count_186,goldstein_186,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,2.141,57,234.25987692722626,1.0,1.56739811912226,-0.1,8,35.21124849740725,-3.2,11,51.718244539148856,4.4,0.0,0.0,4.0,14.93585993706204,0.0,0.0,0.0,3.0,8.626221648534019,1.0,3.2967032967033,3.4,42,172.04945860550893,126.0,7.0,18.643832806330646,23.8,0.0,0.0,0.0,4.0,21.30339337716576,13.6,3.0,8.773829834582001,-0.8999999999999999,1.0,0.523560209424084,4.0,6.0,31.49851444648752,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.82028978047714,20.8,0.0,0.0,0.0,13.0,36.720465975510095,52.0,41,190.9816181803299,41.0,2.0,3.2634032634032595,2.0,22,88.64810728653678,41.799999999999976,19,77.35438817254479,53.19999999999998,0.0,0.0,0.0,18.0,59.05571973917667,126.0,2.0,4.255319148936181,7.0,7.0,33.76474849380174,23.8,0.0,0.0,0.0,6.0,23.355629383536378,48.0,11.0,55.90919583437121,66.0,0.0,0.0,0.0,1.0,8.31946755407654,7.0,1.0,5.079100749375519,7.4,2.0,6.395078922934079,16.6,0.0,0.0,0.0,5.0,25.411270791929738,25.0,0.0,0.0,0.0,2.0,12.37869960966559,10.0,1.0,4.45544554455445,7.0,0.0,0.0,0.0,13,45.76766522916742,-26.0,4.0,14.326318067157507,-20.0,0.0,0.0,0.0,7.0,35.23681161889686,-14.0,16.0,56.1299829103981,-32.0,35,85.23622974012791,-70.0,1.0,4.17777777777778,-2.0,2.0,12.40082722316228,-8.0,0.0,0.0,0.0,1.0,5.543710021321959,-5.0,2.0,5.323193916349799,-10.0,8.0,27.15092234606375,-35.2,5.0,10.101223293169928,-35.0,18.0,62.276525536810894,-117.0,3.0,13.68613138686132,-12.0,0.0,0.0,1.0,0.8888888888888891,-9.2,2.0,5.323193916349799,-10.0,11,39.92774271900959,-55.0,0.0,0.0,0.0,16.0,46.17755323655138,-144.0,1.0,2.6578073089701,-9.5,0.0,0.0,0.0,83,261.466573634596,-830.0,2.0,7.00776282171632,-19.0,92.0,245.279043290955,-920.0
200802,2.144,57,199.28064563829045,0.0,0.0,0.0,8,19.853315660067327,-3.2,17,70.2019828314252,6.8000000000000025,7.0,39.89331822452082,5.0,23.665155304369666,1.0,3.54330708661417,-2.0,6.0,73.14966817782707,4.0,10.259665856339913,13.6,33,115.55939046194617,99.0,1.0,7.236061684460259,3.4,4.0,25.088264640417517,12.8,2.0,6.786222564598041,6.8,0.0,0.0,0.0,2.0,15.625,8.0,7.0,54.97305314059556,28.0,5.0,9.528255258388699,26.0,0.0,0.0,0.0,4.0,15.273994852237443,20.8,0.0,0.0,0.0,14.0,70.83163588558031,56.0,29,191.37084428537509,29.0,0.0,0.0,0.0,41,153.58104519074325,77.9,32,115.59330334425178,89.59999999999997,0.0,0.0,0.0,14.0,63.15276032212439,98.0,1.0,5.33333333333333,3.5,22.0,163.76481743199582,74.80000000000003,0.0,0.0,0.0,2.0,23.7623762376238,16.0,12.0,59.26067209968489,72.0,0.0,0.0,0.0,1.0,5.07380073800738,7.0,0.0,0.0,0.0,6.0,18.473776698195337,49.8,0.0,0.0,0.0,8.0,36.40933669870898,40.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,37.70024353996136,49.0,2.0,5.780346820809241,20.0,26,70.70711620472365,-52.0,13.0,52.426774300397966,-65.0,0.0,0.0,0.0,4.0,14.846763313104551,-8.0,13.0,63.387196049183274,-26.0,39,140.8992403590174,-78.0,1.0,3.75,-2.0,7.0,30.162760586149613,-28.0,1.0,3.54330708661417,-4.0,2.0,4.91561795630416,-10.0,0.0,0.0,0.0,5.0,22.015250029556924,-22.0,4.0,11.678974291067581,-28.0,3.0,13.524180339083767,-19.5,1.0,3.54330708661417,-4.0,0.0,0.0,5.0,12.162414341910877,-46.0,4.0,13.588290068231721,-20.0,20,50.92341918129459,-100.0,0.0,0.0,0.0,29.0,73.3192547165557,-261.0,2.0,2.4883938682777997,-19.0,1.0,5.33333333333333,-10.0,82,243.24930100292235,-820.0,2.0,3.145275451220948,-19.0,84.0,213.77607376118888,-840.0
200803,2.147,38,131.65299867359658,2.0,13.904617968094039,-0.2,10,54.5520446138326,-4.0,4,18.855503582646925,1.6,6.0,27.172093390579988,1.0,5.331882480957559,2.0,9.21222177113304,-4.0,1.0,8.7378640776699,0.0,0.0,0.0,4,26.146354824820648,12.0,1.0,3.9024390243902403,3.4,0.0,0.0,0.0,1.0,6.888888888888889,3.4,4.0,27.838709677419356,-1.2,0.0,0.0,0.0,1.0,6.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6649214659685896,7.0,9.0,43.24270116543649,36.0,2,12.68590276865596,2.0,0.0,0.0,0.0,51,266.18648423096994,96.90000000000006,50,261.86379793818105,139.99999999999997,3.0,10.36468330134357,15.0,2.0,9.12343674981138,14.0,2.0,12.34256926952142,7.0,5.0,38.114959415084186,17.0,0.0,0.0,0.0,7.0,55.2654247184616,56.0,8.0,37.7481244539084,48.0,2.0,7.86516853932584,12.8,1.0,9.09090909090909,7.0,3.0,19.794882263147198,22.200000000000006,2.0,13.00192766360636,16.6,2.0,16.38795986622073,14.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.39343204322091,15.0,1.0,6.25,7.0,2.0,7.5239977413890395,20.0,8,31.437175963043362,-16.0,3.0,15.578239183389401,-15.0,0.0,0.0,0.0,8.0,35.33168671880002,-16.0,2.0,8.28234934230651,-4.0,24,83.74996043096516,-48.0,1.0,4.41558441558442,-2.0,6.0,31.65999181606617,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.10027429290885,-15.0,2.0,11.50316711571827,-8.8,3.0,13.020599703253872,-21.0,2.0,8.66666666666666,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,40.699951479018544,-40.0,22,92.17085638322223,-110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,44.26857731145796,-100.0,0.0,0.0,0.0,12.0,46.361750214539825,-120.0
200804,2.15,37,119.76530506383264,0.0,0.0,0.0,4,15.21016075912217,-1.6,6,27.948267783417503,2.4,3.0,7.00934579439252,3.0,11.245026111329267,1.0,3.37837837837838,-2.0,0.0,0.0,0.0,0.0,0.0,14,48.579256571592595,42.0,0.0,0.0,0.0,2.0,6.557377049180321,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.05579773321708,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0689655172414,10.4,0.0,0.0,0.0,9.0,41.88480678804041,36.0,33,173.28167314819015,33.0,0.0,0.0,0.0,24,126.97590317638796,45.59999999999998,15,80.97754893474497,41.99999999999999,0.0,0.0,0.0,24.0,127.8649685124267,168.0,0.0,0.0,0.0,15.0,100.16872119004745,50.99999999999999,1.0,4.26065162907268,7.0,15.0,98.24923689681542,120.0,9.0,63.39905176603136,54.0,0.0,0.0,0.0,9.0,51.025443160978384,63.0,2.0,7.98175598631698,14.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.73570611365887,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.84814398200224,21.0,1.0,3.38345864661654,10.0,1,1.7811704834605602,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.446749461004188,-10.0,5.0,19.20002837119916,-10.0,12,55.60080360536458,-24.0,0.0,0.0,0.0,7.0,24.2233265024901,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.26065162907268,-5.0,2.0,5.08370134538359,-8.8,3.0,9.5952852419166,-21.0,3.0,13.950448882159375,-19.5,0.0,0.0,0.0,0.0,0.0,1.0,4.26065162907268,-9.2,1.0,4.1543026706231405,-5.0,7,28.85796501242619,-35.0,1.0,4.52127659574468,-5.0,2.0,8.73015873015872,-18.0,4.0,19.09356727588346,-37.0,0.0,0.0,0.0,14,56.02726312660275,-140.0,0.0,0.0,0.0,9.0,35.69080396759354,-90.0
200805,2.153,52,258.63881110834365,0.0,0.0,0.0,6,31.82226202833213,-2.4,1,2.01342281879195,0.4,3.0,20.040481859404192,2.0,14.707493154095099,0.0,0.0,0.0,3.0,16.812089007320118,0.0,0.0,0.0,24,75.18151818822375,72.0,1.0,1.87793427230047,3.4,2.0,18.11224489795918,6.4,5.0,32.51684131414021,17.0,0.0,0.0,0.0,2.0,16.417934144095472,8.0,5.0,45.60733247237766,20.0,0.0,0.0,0.0,1.0,10.5633802816901,4.5,1.0,6.16438356164384,5.2,0.0,0.0,0.0,31.0,156.64147105636488,124.0,26,165.58025898804686,26.0,0.0,0.0,0.0,12,67.18340992030488,22.8,12,63.13974917592467,33.6,0.0,0.0,0.0,23.0,102.81278777668754,161.0,4.0,35.64356435643564,14.0,11.0,63.51684796562961,37.39999999999999,1.0,4.59363957597173,7.0,14.0,102.801972286596,112.0,10.0,78.04921468382597,60.0,6.0,36.58243840227421,38.4,5.0,36.362710868427385,35.0,2.0,11.48989898989899,14.8,0.0,0.0,0.0,2.0,14.11042944785276,14.8,1.0,11.038961038961,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.01327297729808,14.0,0.0,0.0,0.0,11,44.89253530187547,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.94962853843207,-8.0,3.0,17.23645827600034,-6.0,8,46.89881027317999,-16.0,1.0,2.01342281879195,-2.0,5.0,16.40880568715066,-20.0,0.0,0.0,0.0,5.0,28.95767418710228,-25.0,1.0,8.11965811965812,-5.0,3.0,16.577623392537866,-13.2,1.0,7.712532865907099,-7.0,1.0,2.28310502283105,-6.5,1.0,5.528341497550731,-4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75586854460094,-10.0,5,22.25601094632204,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.1021020617294,-20.0,11,35.236007252995435,-110.0,1.0,3.41796875,-9.5,10.0,27.854119772018706,-100.0
200806,2.156,61,288.9318397148228,0.0,0.0,0.0,6,20.02671964632889,-2.4,15,56.55363646537402,6.000000000000001,2.0,20.618556701031,1.0,1.9646302250803798,3.0,12.987022013645241,-6.0,0.0,0.0,2.0,7.2562358276644,6.8,19,111.59876818100606,57.0,1.0,8.05860805860806,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7344398340249003,-0.3,1.0,7.65765765765766,4.0,4.0,21.45907715412035,16.0,3.0,21.347722883063028,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.74064837905237,4.0,25,127.06181975300684,25.0,0.0,0.0,0.0,22,100.23054971310421,41.799999999999976,21,100.75179579311435,58.79999999999998,2.0,16.760808521501012,10.0,34.0,181.0135585942249,238.0,1.0,1.9002375296912102,3.5,11.0,77.31033317154512,37.39999999999999,0.0,0.0,0.0,2.0,11.42857142857142,16.0,22.0,101.27397652830577,132.0,3.0,16.451612903225822,19.200000000000006,3.0,9.8944995728045,21.0,6.0,35.55894203371237,44.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.83226009433497,35.0,0.0,0.0,0.0,2.0,9.031368493622882,10.0,6.0,47.528226934103834,42.0,1.0,3.54466858789625,9.0,14,42.83860520709653,-28.0,2.0,7.2562358276644,-10.0,1.0,5.9016393442623,-5.0,14.0,54.47700817882744,-28.0,4.0,15.111948570161841,-8.0,22,64.20557619142627,-44.0,8.0,38.533566096896294,-16.0,10.0,49.177920784517795,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.9975873159085,-8.8,0.0,0.0,0.0,5.0,25.886043504615923,-32.5,0.0,0.0,0.0,0.0,0.0,1.0,4.515684246811441,-9.2,5.0,13.3392785319798,-25.0,33,83.84775542286741,-165.0,3.0,11.37815038031836,-15.0,1.0,1.9646302250803798,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,14,34.63854304024458,-140.0,1.0,0.778210116731518,-9.5,14.0,40.01880418239583,-140.0
200807,2.1590000000000003,36,185.9559176477469,0.0,0.0,0.0,9,48.088853373632666,-3.6,7,43.73335874002037,2.8,0.0,0.0,2.0,18.055555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,79.4720199984927,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.1912658927585,6.8,2.0,8.963714637146369,-0.6,0.0,0.0,0.0,3.0,18.72081757482373,12.0,1.0,4.20531849103278,5.2,0.0,0.0,0.0,2.0,12.37325781553667,10.4,3.0,19.46902654867257,21.0,10.0,53.09103073131366,40.0,37,195.92250636014583,37.0,6.0,16.9934640522876,6.0,20,87.82429523514121,37.99999999999999,15,66.58667528477372,41.99999999999999,0.0,0.0,0.0,28.0,235.45923689637348,196.0,4.0,19.1881918819188,14.0,10.0,66.8341417125642,33.99999999999999,2.0,6.51098518952184,14.0,8.0,62.19538757612523,64.0,20.0,149.26350273959798,120.0,4.0,24.500031698764943,25.6,6.0,43.72282185393078,42.0,2.0,8.939280359820081,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.561168652568213,35.0,1.0,4.76190476190476,5.0,8.0,32.28579650930507,56.0,0.0,0.0,0.0,1,4.34782608695652,-2.0,5.0,39.29318270491769,-25.0,0.0,0.0,0.0,6.0,33.153256611024396,-12.0,18.0,77.67110129676833,-36.0,10,53.465237476353906,-20.0,0.0,0.0,0.0,7.0,45.358497561550465,-28.0,0.0,0.0,0.0,1.0,7.54310344827586,-5.0,0.0,0.0,0.0,5.0,30.190794105839853,-22.0,0.0,0.0,0.0,4.0,17.37113084687472,-26.0,3.0,15.02924623362579,-12.0,0.0,0.0,0.0,0.0,0.0,11.0,53.939639616422824,-55.0,5,21.08068078965523,-25.0,0.0,0.0,0.0,3.0,13.12077098884273,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,11,43.951803072174634,-110.0,0.0,0.0,0.0,5.0,21.97422484543076,-50.0
200808,2.162,50,215.14022821324363,0.0,0.0,0.0,5,28.22736723971548,-2.0,4,28.725713317492872,1.6,4.0,7.5690396153355195,0.0,0.0,2.0,6.10338120865986,-4.0,1.0,7.25806451612903,0.0,0.0,0.0,21,99.81865378202842,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.174715677790847,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,96.61297004437552,48.0,17,99.65283015549042,17.0,0.0,0.0,0.0,20,104.43514077310972,37.99999999999999,20,107.11025028609319,55.99999999999998,0.0,0.0,0.0,16.0,96.18435942937644,112.0,0.0,0.0,0.0,12.0,97.91528431022668,40.79999999999999,0.0,0.0,0.0,14.0,79.19210762071415,112.0,7.0,27.510093483612383,42.0,1.0,9.21052631578947,6.4,2.0,14.93983957219251,14.0,1.0,8.11594202898551,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.16901408450704,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.78490942804164,28.0,0.0,0.0,0.0,5,31.209103840682783,-10.0,12.0,60.26071467978113,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,27.39310713022134,-22.0,1.0,9.09090909090909,-2.0,3.0,11.07692307692307,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.92134831460674,-13.0,11.0,65.86857890525225,-44.0,0.0,0.0,0.0,0.0,0.0,3.0,17.26723174060378,-15.0,18,36.553357086222796,-90.0,0.0,0.0,0.0,4.0,18.48535585159302,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,34,82.59704030319266,-340.0,0.0,0.0,0.0,26.0,85.9969360617169,-260.0
200809,2.165,51,240.067344590566,0.0,0.0,0.0,11,46.63302190978758,-4.4,10,69.27536231730575,4.0,5.0,17.505695712902632,4.0,15.19413755667668,3.0,9.91752792567074,-6.0,0.0,0.0,1.0,9.047619047619051,3.4,17,112.98117674718296,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1700288184437997,3.4,1.0,13.5714285714286,-0.3,1.0,6.58174097664544,4.0,10.0,78.81412977170315,40.0,4.0,25.49081071111244,20.8,1.0,8.26446280991736,4.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,112.66900444071491,60.0,38,241.74582234954315,38.0,0.0,0.0,0.0,17,122.92396325509243,32.29999999999999,20,142.988922544864,55.99999999999998,0.0,0.0,0.0,50.0,220.2009673327346,350.0,0.0,0.0,0.0,17.0,146.86606020850164,57.79999999999998,1.0,4.04624277456647,7.0,17.0,99.26337367498878,136.0,31.0,169.08528395745898,186.0,7.0,30.44891886696255,44.8,1.0,7.758620689655171,7.0,2.0,17.24137931034482,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.3551915661817,30.0,10,32.88683138765083,-20.0,2.0,10.46523612227651,-10.0,3.0,8.62944162436548,-15.0,5.0,24.877338381460614,-10.0,4.0,25.92690071111144,-8.0,15,57.428104281354415,-30.0,8.0,44.790877965381945,-16.0,5.0,31.23792783458176,-20.0,0.0,0.0,0.0,7.0,67.4508426966292,-35.0,0.0,0.0,0.0,5.0,28.26045065524823,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.92442029139334,-15.0,11,45.676888534615756,-55.0,0.0,0.0,0.0,4.0,14.711512074051177,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,11,41.17304198546355,-110.0,0.0,0.0,0.0,6.0,23.967679753388442,-60.0
200810,2.168,50,286.5782926940083,0.0,0.0,0.0,15,86.48192325315426,-6.000000000000001,7,34.73978360392382,2.8,6.0,31.794567067880017,0.0,0.0,1.0,4.8582995951417,-2.0,0.0,0.0,0.0,0.0,0.0,24,136.65192106883916,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.6564417177914,8.0,14.0,97.60312756604849,56.0,4.0,27.254417655506,20.8,3.0,17.1302261160858,13.5,1.0,6.08346518314363,5.2,0.0,0.0,0.0,33.0,171.651038819485,132.0,38,257.6816278164428,38.0,0.0,0.0,0.0,40,217.5757682346291,76.0,36,196.48239216630702,100.79999999999994,0.0,0.0,0.0,17.0,112.98206332586642,119.0,3.0,12.8972888794507,10.5,25.0,205.63148529203724,85.0,0.0,0.0,0.0,47.0,321.0522576916095,376.0,24.0,145.2833991671152,144.0,8.0,46.834984412552096,51.2,5.0,19.43492210797933,35.0,3.0,28.10250817884397,22.200000000000006,3.0,15.130454597242782,24.9,0.0,0.0,0.0,5.0,33.70532907147348,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,59.67873554476023,77.0,0.0,0.0,0.0,19,136.1372087842995,-38.0,4.0,27.98121180215135,-20.0,0.0,0.0,0.0,9.0,48.13759655203884,-18.0,8.0,36.14188796012663,-16.0,7,44.56111834563517,-14.0,0.0,0.0,0.0,22.0,145.56134382970208,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.37204522096608,-4.4,0.0,0.0,0.0,3.0,10.97781217750258,-19.5,5.0,35.31413699909912,-20.0,0.0,0.0,0.0,0.0,0.0,3.0,10.944206008583699,-15.0,9,35.04338825312962,-45.0,0.0,0.0,0.0,2.0,8.952317642160029,-18.0,3.0,15.42857142857142,-28.0,0.0,0.0,0.0,7,27.60662983670474,-70.0,0.0,0.0,0.0,2.0,7.83410138248848,-20.0
