MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_180,tone_count_180,goldstein_180,event_count_190,tone_count_190,goldstein_190,event_count_193,tone_count_193,goldstein_193
200801,1.7690000000000001,42.0,230.24748755100444,16.0,100.6701631851895,-6.4,14.0,68.16764929825199,5.6000000000000005,2.0,11.601981209987118,0.0,0.0,12.0,75.9712965258059,18.0,77.09690759899766,54.0,4.0,11.65556900726393,13.6,8.0,42.433999601894726,32.0,0.0,0.0,0.0,3.0,20.41809622596345,17.2,12,54.616546074160716,48.0,13.0,63.71874142726576,13.0,22,112.05631361862551,41.799999999999976,14.0,70.79887139658908,39.2,35.0,213.0951208462347,245.0,4.0,21.94602155821665,14.0,15,86.68052016046938,50.99999999999999,5.0,22.826231378862943,40.0,25.0,145.1688973888846,150.0,1.0,3.0188679245282994,6.4,9.0,50.136911657846824,63.0,6.0,27.487595653850953,44.4,5.0,20.71596330619325,41.5,5.0,22.454069133797198,37.0,4.0,29.792856708676254,20.0,16.0,52.16434581866221,80.0,5.0,33.58440761917884,35.0,0.0,0.0,0.0,3.0,16.17785639932458,-6.0,2.0,14.11909968610999,-10.0,9.0,62.182488804832325,-18.0,3.0,12.90886067362375,-6.0,9.0,57.457836739525455,-18.0,7.0,28.578567057516786,-28.0,6.0,36.12077839375698,-26.4,2.0,8.663375028955539,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.093365633102438,-15.0,17.0,103.36298924125677,-85.0,0.0,0.0,0.0,49.0,288.79438681197,-490.0,3.0,17.48189598420014,-30.0
200802,1.7691666666666666,311.0,1528.2314068842002,61.0,289.86441953640474,-24.39999999999998,113.0,562.4553802167418,45.199999999999925,22.0,108.4186864013572,11.0,73.91942847482312,13.0,82.3042665479903,174.0,842.4839969326018,522.0,17.0,102.76191247526077,57.79999999999998,43.0,244.8074459734044,172.0,0.0,0.0,0.0,13.0,60.15031384629489,67.60000000000001,159,828.0562491127887,636.0,247.0,1308.61777520674,247.0,257,1295.8890998032014,488.2999999999992,239.0,1209.251379715297,669.2000000000003,107.0,594.7518814275961,749.0,55.0,288.7872696401268,192.5,168,920.1337565063087,571.1999999999991,13.0,83.53857536388827,104.0,73.0,376.49972880459836,438.0,0.0,0.0,0.0,57.0,327.086255669036,399.0,20.0,109.97294147916288,148.00000000000006,59.0,312.0808087389685,489.70000000000056,55.0,279.25047480451235,406.99999999999983,59.0,317.1690536857725,295.0,3.0,12.149183550923949,15.0,50.0,281.31258081217555,350.0,21.0,95.7518092639708,206.0,71.0,343.75933835708395,-142.0,45.0,239.41226896220797,-225.0,51.0,241.41096743179529,-102.0,133.0,747.889518010167,-266.0,105.0,496.14667862546713,-210.0,24.0,133.84673880091984,-96.0,31.0,151.57533574840187,-136.40000000000006,8.0,36.3902615325005,-52.0,25.0,121.07331914769422,-179.99999999999991,23.0,122.68986201331757,-92.0,46.0,208.7618805450317,-230.0,145.0,644.3018633010197,-725.0,92.0,453.2730820130009,-828.0,641.0,3104.443611344513,-6410.0,522.0,2424.858708269852,-5220.0
200803,1.7693333333333332,94.0,519.062129315688,7.0,78.12627970123928,-2.8,27.0,117.53320983786314,10.800000000000004,0.0,0.0,4.0,23.3298202248895,3.0,20.43010752688173,54.0,301.3471367548595,162.0,0.0,0.0,0.0,7.0,39.577401473302785,28.0,1.0,9.677419354838712,5.2,1.0,5.726872246696041,6.0,17,100.58817027555773,68.0,36.0,247.70771936829135,36.0,79,493.61038330142793,150.1000000000002,70.0,439.32018969973456,196.0000000000001,67.0,341.68069470019617,469.0,13.0,83.96743201631601,45.5,43,274.2141258294428,146.2000000000001,6.0,-1.8268863559363613,48.0,28.0,142.61594977532462,168.0,0.0,0.0,0.0,4.0,26.498733994049076,28.0,6.0,47.76053312364881,44.4,6.0,45.329104290124675,49.8,17.0,131.37762069850262,125.8,78.0,387.6141199373874,390.0,0.0,0.0,0.0,6.0,28.52587538738247,42.0,13.0,43.830538911776344,117.0,11.0,64.78854140056103,-22.0,7.0,28.63674651788937,-35.0,7.0,41.243637264915755,-14.0,5.0,29.71342383107088,-10.0,23.0,111.98347619440818,-46.0,6.0,27.585007062877608,-24.0,4.0,17.39105775593158,-17.6,1.0,9.420289855072461,-6.5,13.0,70.2715499797653,-93.60000000000002,0.0,0.0,0.0,5.0,22.04519984966856,-25.0,14.0,67.09526767591842,-70.0,46.0,237.8298703035753,-414.0,114.0,533.1467841707836,-1140.0,117.0,515.0680106114016,-1170.0
200804,1.7695,124.0,616.2363153922047,14.0,97.4587823347143,-5.600000000000001,58.0,306.2334928949059,23.199999999999985,11.0,58.89115254952874,2.0,7.10659898477158,8.0,20.03195972711926,88.0,500.7616187731881,264.0,4.0,19.127408075508622,13.6,34.0,175.04432492510838,136.0,4.0,24.88288300547637,20.8,5.0,31.1104064836196,26.0,64,339.6055472371736,256.0,28.0,149.5373617726723,28.0,222,1023.4676803963283,421.7999999999996,206.0,1041.9925302169004,576.8000000000008,28.0,176.11275182069502,196.0,50.0,320.31516011051536,175.0,104,681.3490881780974,353.59999999999985,9.0,71.88403385309404,72.0,16.0,90.80163359155151,96.0,2.0,12.83351342365555,12.8,13.0,74.64243963954588,91.0,11.0,63.59225395348781,81.40000000000002,9.0,32.96438328125754,74.69999999999997,16.0,53.55220923293276,118.40000000000003,154.0,856.8983413704092,770.0,14.0,70.77048111976116,70.0,28.0,172.43714105443783,196.0,29.0,153.82399493726376,277.0,20.0,107.02437643176724,-40.0,2.0,10.603206541515943,-10.0,10.0,68.60136834174921,-20.0,12.0,67.60922964190637,-24.0,53.0,208.03363562302462,-106.0,14.0,82.84407989504723,-56.0,3.0,19.4650979835442,-13.2,2.0,8.691677033528679,-13.0,1.0,4.31211498973306,-7.2,2.0,11.12372304199772,-8.0,4.0,16.52046468746846,-20.0,105.0,580.3558864335532,-525.0,21.0,89.28485298984019,-189.0,194.0,1053.5602057112294,-1940.0,154.0,845.1503257041801,-1540.0
200805,1.7696666666666665,40.0,204.12596597688582,6.0,31.59507125111451,-2.4,4.0,19.918300057763826,1.6,1.0,4.81366459627329,1.0,10.444874274661501,7.0,55.00212744566603,16.0,101.06304957612295,48.0,6.0,41.252648061158695,20.4,5.0,36.43027304379696,20.0,3.0,16.403602013597812,15.6,2.0,13.28719723183392,10.4,7,36.75792365812968,28.0,19.0,92.35192932681565,19.0,33,232.92010616055583,62.699999999999974,29.0,166.2309312678741,81.19999999999995,2.0,12.68191268191268,14.0,5.0,56.146369884257105,17.5,17,130.24248526798192,57.79999999999998,4.0,25.8934098800707,32.0,5.0,27.177847079440433,30.0,2.0,9.334965320277439,12.8,3.0,39.54959430369266,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.309825195901162,37.0,12.0,66.64561860130155,60.0,0.0,0.0,0.0,10.0,36.49048431118623,70.0,2.0,13.080895008605859,18.0,3.0,24.20156366782152,-6.0,7.0,40.92710893631152,-35.0,4.0,24.04350857671308,-8.0,5.0,27.640749095479393,-10.0,6.0,34.47255210063414,-12.0,14.0,80.09373330532162,-56.0,2.0,11.619174265450859,-8.8,0.0,0.0,0.0,2.0,5.96026490066226,-14.4,0.0,0.0,0.0,2.0,10.07920645495595,-10.0,17.0,84.2414510666197,-85.0,1.0,1.7857142857142903,-9.0,16.0,93.72514581898494,-160.0,19.0,109.38728126102743,-190.0
200806,1.7698333333333331,36.0,217.3464030183149,7.0,52.49987530357801,-2.8,23.0,142.23158649747882,9.200000000000003,12.0,75.73214087579117,13.0,50.608113779372474,1.0,7.457627118644071,21.0,148.47130480510054,63.0,2.0,17.74193548387096,6.8,12.0,75.78965524282609,48.0,7.0,33.3930124494418,36.4,2.0,10.0418410041841,12.0,12,83.61725217089474,48.0,26.0,161.80705514122138,26.0,41,298.1998120934142,77.89999999999998,33.0,250.4210742507942,92.39999999999996,12.0,92.2863561687504,84.0,6.0,54.680437060320294,21.0,15,106.06309322496666,50.99999999999999,1.0,8.11783224645829,8.0,7.0,48.92378903924245,42.0,3.0,15.06909489741387,19.200000000000006,6.0,33.23410076603439,42.0,3.0,13.232175987278021,22.200000000000006,1.0,5.63770794824399,8.3,0.0,0.0,0.0,4.0,26.29386734675178,20.0,8.0,54.712517018775884,40.0,13.0,84.01827470272656,91.0,5.0,15.49718574108816,48.0,1.0,4.107648725212471,-2.0,4.0,26.933485501103156,-20.0,0.0,0.0,0.0,3.0,17.675682643349738,-6.0,3.0,22.29956686997256,-6.0,24.0,140.96270565863682,-96.0,4.0,24.435767827407645,-17.6,10.0,67.54452085243615,-65.0,0.0,0.0,0.0,1.0,5.34979423868313,-4.0,1.0,2.56410256410256,-5.0,9.0,47.641568049141995,-45.0,24.0,133.77516314598725,-216.0,22.0,123.57578966966635,-220.0,13.0,84.74775802324163,-130.0
200807,1.77,35.0,221.14568920157075,12.0,70.37647498812774,-4.8,8.0,61.854299199635065,3.2,5.0,27.109943270803623,4.0,29.98811804987946,2.0,11.47540983606558,32.0,186.9800626331477,96.0,1.0,6.3788027477919504,3.4,6.0,35.357078281011326,24.0,0.0,0.0,0.0,4.0,20.726577614672124,20.8,31,196.2666529936789,124.0,30.0,208.6158091387577,30.0,44,259.220749793396,83.60000000000002,56.0,320.24367360258515,156.8,21.0,131.8993099151931,147.0,17.0,128.3707133217482,59.5,19,134.47505468765615,64.59999999999998,1.0,8.08988764044944,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.634360608550054,21.0,5.0,23.926125556124074,37.0,0.0,0.0,0.0,1.0,4.64668455512657,7.4,9.0,64.05936596024416,45.0,0.0,0.0,0.0,10.0,56.99050100884315,70.0,4.0,18.93366642561303,37.0,1.0,4.57875457875458,-2.0,9.0,45.437409240729586,-45.0,11.0,66.81644860071134,-22.0,8.0,38.927548997953096,-16.0,30.0,184.82876338431763,-60.0,30.0,166.84711312827272,-120.0,6.0,38.57285473101495,-26.4,14.0,70.5728030807028,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2710280373831804,-5.0,24.0,108.96179389499578,-120.0,0.0,0.0,0.0,47.0,284.3243204925224,-470.0,6.0,35.6008518573195,-60.0
200808,1.7701666666666669,25.0,175.91486796193936,4.0,30.23618165496542,-1.6,5.0,39.087258946326244,2.0,7.0,37.50629455469347,0.0,0.0,2.0,13.16614420062696,18.0,114.9320511277522,54.0,0.0,0.0,0.0,13.0,99.37040603675942,52.0,2.0,18.18138976479987,10.4,1.0,3.6363636363636402,5.2,22,137.53067334994634,88.0,25.0,207.09026745763472,25.0,44,259.894250810677,83.60000000000002,35.0,216.7754829651889,97.99999999999994,17.0,124.67404567528608,119.0,19.0,153.7618100705169,66.5,27,227.2270376176548,91.80000000000004,17.0,159.21531546218034,136.0,15.0,122.50802340677788,90.0,1.0,7.986111111111111,6.4,8.0,73.46472243980452,56.0,2.0,18.50110957731217,14.8,0.0,0.0,0.0,5.0,32.37884965465984,37.0,2.0,16.67300168799467,10.0,0.0,0.0,0.0,3.0,22.8707349688936,21.0,1.0,5.952380952380951,9.0,0.0,0.0,0.0,3.0,23.79988014999211,-15.0,0.0,0.0,0.0,2.0,9.844020889394699,-4.0,10.0,61.98136032168064,-20.0,7.0,57.349235809419135,-28.0,0.0,0.0,0.0,1.0,6.35538261997406,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.332086061739941,-5.0,6.0,31.12800783424659,-30.0,1.0,4.0,-9.0,20.0,157.99077898577846,-200.0,8.0,47.6145441798387,-80.0
200809,1.770333333333333,22.0,130.48767354451618,0.0,0.0,0.0,15.0,57.58757554137024,6.000000000000001,4.0,17.81768891901052,2.0,6.89655172413794,1.0,6.45161290322581,18.0,87.53319793611931,54.0,0.0,0.0,0.0,6.0,45.161092857952816,24.0,0.0,0.0,0.0,1.0,3.6231884057971,5.2,11,71.0420608172003,44.0,26.0,165.5485636656709,26.0,16,83.4448941244476,30.39999999999999,15.0,74.25730712126482,41.99999999999999,5.0,28.283473082223416,35.0,0.0,0.0,0.0,11,94.13463381476237,37.39999999999999,0.0,0.0,0.0,8.0,58.53789401260696,48.0,1.0,2.4221453287197203,6.4,5.0,26.92154998564934,35.0,6.0,37.26535935860271,44.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.10958904109589,5.0,0.0,0.0,0.0,5.0,35.601641131227495,35.0,8.0,34.91397463905696,78.0,14.0,66.66040277218953,-28.0,2.0,13.491789048771711,-10.0,3.0,13.83798140770252,-6.0,4.0,33.69065849923432,-8.0,4.0,20.223104203139,-8.0,11.0,42.517023798546944,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.014134275618382,-14.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.82725937792017,-10.0,1.0,2.07792207792208,-9.0,9.0,38.47814117862382,-90.0,6.0,17.09660202810889,-60.0
200810,1.7705,34.0,220.1244555776094,11.0,59.77442155215885,-4.4,9.0,56.352589367501395,3.6,2.0,8.80044031169432,1.0,7.61204024349167,0.0,0.0,13.0,87.7360397610886,39.0,0.0,0.0,0.0,3.0,30.358504485419697,12.0,2.0,9.41008017593046,10.4,4.0,26.116838487972522,20.8,6,46.150133551478156,24.0,24.0,198.77942438676519,24.0,40,232.0822284812697,75.99999999999999,35.0,185.90377065105548,97.99999999999994,9.0,70.41946149354312,63.0,0.0,0.0,0.0,20,162.31565060794898,67.99999999999999,8.0,51.59636593330799,64.0,3.0,17.00561925653546,18.0,0.0,0.0,0.0,1.0,4.25305688463583,7.0,3.0,24.37545835239471,22.200000000000006,2.0,11.643835616438361,16.6,2.0,8.68456881318616,14.8,4.0,22.23248835189134,20.0,0.0,0.0,0.0,2.0,5.581395348837201,14.0,5.0,29.98075438148931,50.0,1.0,4.30950048971596,-2.0,3.0,16.56514805885034,-15.0,2.0,10.13141829793514,-4.0,1.0,5.19877675840979,-2.0,10.0,74.05474874266805,-20.0,4.0,27.68354081351296,-16.0,3.0,19.27141862314089,-13.2,4.0,21.74572617970605,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.41189074631126,-15.0,11.0,63.02365790870021,-55.0,1.0,6.8645640074211505,-9.0,40.0,210.32825979882537,-400.0,3.0,19.151253427216368,-30.0
