MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_80,tone_count_80,goldstein_80,event_count_84,tone_count_84,goldstein_84,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190
200801,1.963,33,128.12619406446228,2.0,3.5460992907801403,-0.8,6.0,25.228655571221967,2.4,0.0,0.0,0.0,0.0,28,124.69511098090582,84.0,2.0,6.609195402298861,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.35604072963519,16.0,7.0,28.20584846562312,7.0,26.0,92.44902757806513,49.399999999999984,24.0,82.85716097005499,67.19999999999997,0.0,0.0,0.0,1.0,10.2741730900576,3.5,10.0,57.56797463415886,34.0,8.0,44.290584366609366,64.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.545693115918933,35.0,0.0,0.0,0.0,7.0,19.39074526212273,35.0,1.0,7.20108695652174,7.0,3.0,9.20245398773007,-6.0,1.0,3.3391250111378503,-5.0,8.0,36.79512691949144,-16.0,1.0,2.3923444976076604,-2.0,3.0,10.24127080122944,-6.0,0.0,0.0,0.0,6.0,24.853134506234113,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.83020879230212,-4.0,2.0,8.85785698761139,-10.0,23.0,72.93170392211556,-115.0,12.0,42.359062114345775,-109.0,8.0,22.40776356959406,-80.0
200802,1.9566666666666668,27,109.12310048884736,7.0,38.433487332483956,-2.8,5.0,19.45881567273075,2.0,7.0,30.007795228833963,0.0,0.0,17,62.90995426194805,51.0,0.0,0.0,0.0,1.0,5.839416058394161,4.0,0.0,0.0,0.0,8.0,36.543688268362594,32.0,13.0,62.689460523691785,13.0,57.0,245.50103182844936,108.30000000000008,53.0,224.38885557558868,148.4,2.0,11.507936507936499,14.0,1.0,10.0,3.5,1.0,6.16197183098592,3.4,0.0,0.0,0.0,6.0,31.507732017627077,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.96312739860034,22.200000000000006,2.0,5.4054054054054,10.0,4.0,17.01996350209481,28.0,3.0,15.33875703175778,-6.0,2.0,12.074430135759387,-10.0,7.0,23.355502097915767,-14.0,2.0,9.70196078431373,-4.0,27.0,96.6269060579556,-54.0,0.0,0.0,0.0,12.0,55.736401640623704,-48.0,1.0,6.051873198847259,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.16175944212077,-20.0,69.0,275.3471566241109,-345.0,9.0,42.66691043556264,-81.0,0.0,0.0,0.0
200803,1.9503333333333333,19,68.56048951059165,2.0,10.17283950617284,-0.8,10.0,48.23740968553303,4.0,1.0,2.7322404371584703,0.0,0.0,15,63.705425264138725,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,53.54452202396343,36.0,4.0,24.921594982078858,4.0,10.0,42.042301416950174,19.0,8.0,30.43660712548777,22.4,6.0,24.015009380863024,42.0,2.0,18.58639819190466,7.0,4.0,22.321743342411228,13.6,1.0,2.3617084079812,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.855711831740091,21.0,1.0,6.5166795965865,7.4,2.0,8.62357365220175,10.0,6.0,21.962387206289645,42.0,7.0,23.765169272589088,-14.0,20.0,68.31366722818979,-100.0,1.0,2.10325047801147,-2.0,2.0,9.192721716785881,-4.0,31.0,114.97902283003202,-62.0,1.0,4.0025015634771695,-2.0,16.0,58.912099417915364,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,209.7954644349757,-275.0,0.0,0.0,0.0,6.0,10.085903862553833,-60.0
200804,1.944,20,89.28521930961905,7.0,32.04540995995452,-2.8,3.0,12.694714925922627,1.2000000000000002,0.0,0.0,0.0,0.0,20,77.42953232411439,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.62121212121213,24.0,0.0,0.0,0.0,26.0,78.6127462493555,49.399999999999984,21.0,75.27118592872516,58.79999999999998,4.0,20.322304905745217,28.0,0.0,0.0,0.0,6.0,27.313808000171036,20.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.30906013216264,57.6,0.0,0.0,0.0,1.0,3.47593582887701,7.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.64638881574313,-16.0,2.0,7.0945945945946,-10.0,2.0,8.07411754269844,-4.0,2.0,7.510517961441852,-4.0,6.0,23.902212376363984,-12.0,1.0,4.13533834586466,-2.0,2.0,8.13559322033898,-8.0,3.0,12.021478855146189,-13.2,0.0,0.0,0.0,9.0,26.053048564272014,-36.0,3.0,9.004890004974243,-15.0,44.0,178.61252713280444,-220.0,9.0,36.819924066856416,-81.5,9.0,4.892412212840769,-90.0
200805,1.9376666666666664,5,21.234774503550874,3.0,21.502474134053077,-1.2000000000000002,1.0,5.26315789473684,0.4,1.0,6.2992125984252,0.0,0.0,2,13.64113051229616,6.0,0.0,0.0,0.0,1.0,2.9441018500099503,4.0,1.0,5.79150579150579,5.2,2.0,5.9347181008902,8.0,1.0,0.186393289841566,1.0,2.0,10.264555396590607,3.8,1.0,4.74308300395257,2.8,2.0,15.21032919794518,14.0,2.0,11.58301158301158,7.0,3.0,21.021457826529037,10.2,0.0,0.0,0.0,0.0,0.0,0.0,11.0,42.398286937901524,70.39999999999998,1.0,8.11965811965812,7.0,4.0,18.8115732563492,29.6,5.0,21.095762302502987,25.0,2.0,11.04294478527608,14.0,5.0,18.233533770492393,-10.0,7.0,18.50170369360773,-35.0,1.0,5.594405594405591,-2.0,3.0,14.40123335259537,-6.0,2.0,10.52631578947368,-4.0,0.0,0.0,0.0,3.0,24.119052928225695,-12.0,0.0,0.0,0.0,1.0,4.03022670025189,-6.5,0.0,0.0,0.0,2.0,12.681159420289859,-10.0,4.0,20.33006117513161,-20.0,0.0,0.0,0.0,2.0,11.05466368624263,-20.0
200806,1.9313333333333331,80,287.28127431647613,2.0,9.009009009009,-0.8,36.0,137.85611517899858,14.400000000000007,5.0,19.454849485544425,3.0,15.497076023391811,28,113.66979473648055,84.0,1.0,10.071942446043199,4.0,20.0,75.60346210588862,80.0,0.0,0.0,0.0,9.0,44.362987773773746,36.0,13.0,58.174805664412524,13.0,62.0,244.01548312033387,117.80000000000004,62.0,251.08002595351195,173.60000000000005,25.0,112.32174996973407,175.0,6.0,22.2109859915363,21.0,19.0,76.48045664366424,64.59999999999998,2.0,12.222222222222221,16.0,12.0,34.12676927734818,72.0,4.0,33.2231219073324,25.6,7.0,27.22294127717671,49.0,30.0,119.94128073154293,222.00000000000009,5.0,46.09195402298865,25.0,9.0,36.433328462061205,63.0,9.0,37.54020669849094,-18.0,23.0,68.79837725343828,-115.0,4.0,17.50746777764601,-8.0,4.0,15.471394037066881,-8.0,108.0,354.0352953659916,-216.0,0.0,0.0,0.0,22.0,85.86724816406196,-88.0,0.0,0.0,0.0,2.0,5.13898670201749,-13.0,7.0,27.759096397193236,-28.0,5.0,19.521773582979087,-25.0,166.0,599.3640520053389,-830.0,10.0,51.616156204977685,-90.0,2.0,7.794761530474,-20.0
200807,1.925,18,95.95400333741087,8.0,35.6430268214956,-3.2,5.0,20.89330396220446,2.0,1.0,4.12371134020619,0.0,0.0,10,36.48405150347114,30.0,0.0,0.0,0.0,7.0,33.381060900657076,28.0,0.0,0.0,0.0,13.0,64.59360239855623,52.0,49.0,269.44690912650816,49.0,19.0,75.74917347596714,36.09999999999999,24.0,88.49845011155121,67.19999999999997,5.0,20.248586498336014,35.0,0.0,0.0,0.0,13.0,46.57727837797256,44.19999999999999,0.0,0.0,0.0,10.0,35.17158644710118,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.80081790083418,20.0,0.0,0.0,0.0,4.0,17.96407185628744,-8.0,10.0,42.16750202692243,-50.0,6.0,21.908162524784263,-12.0,6.0,20.87069515024471,-12.0,18.0,67.75029688149286,-36.0,3.0,8.851371044207221,-6.0,6.0,19.92154571652468,-24.0,0.0,0.0,0.0,1.0,2.0283975659229196,-6.5,8.0,38.660448654429366,-32.0,3.0,7.824919441460791,-15.0,119.0,404.3476519174221,-595.0,0.0,0.0,0.0,6.0,34.83105535291997,-60.0
200808,1.9186666666666667,4,17.562868925365898,1.0,2.69230769230769,-0.4,2.0,10.52363299351251,0.8,1.0,7.58226037195994,0.0,0.0,2,6.89655172413794,6.0,0.0,0.0,0.0,4.0,24.48709447974056,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2219321148825095,1.0,5.0,36.15452636233007,9.5,3.0,20.491875759920422,8.399999999999999,8.0,43.78174552924457,56.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.98795180722892,48.0,4.0,12.97539149888144,24.0,1.0,3.24384787472036,6.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,35.9154929577465,30.0,3.0,10.344827586206911,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.31034482758621,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.61538461538462,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.864805692391911,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.9123333333333332,1,4.83870967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,44.81857857884128,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.11948489762659,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1764705882352902,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,94.7374219641764,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.710268255126014,-35.0,0.0,0.0,0.0,2.0,9.6774193548387,-20.0
200810,1.906,17,99.0572644607708,7.0,28.204616994199448,-2.8,10.0,41.70574467041379,4.0,1.0,3.9426523297491003,0.0,0.0,2,7.787794472268598,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,57.349144757681294,56.0,3.0,9.681087227245653,3.0,18.0,74.22379214694023,34.19999999999999,18.0,77.87741249688283,50.399999999999984,1.0,8.79912663755459,7.0,0.0,0.0,0.0,8.0,65.50390666244328,27.2,0.0,0.0,0.0,4.0,9.09462080228642,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9426523297491003,7.4,3.0,6.7668617834730815,15.0,3.0,16.07329365830407,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.951846597360821,-2.0,0.0,0.0,0.0,5.0,19.83235191308639,-10.0,0.0,0.0,0.0,2.0,8.109605898354937,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.80952380952381,-4.0,2.0,4.5473104011432115,-10.0,15.0,35.95061597557858,-75.0,2.0,10.4906937394247,-18.0,0.0,0.0,0.0
