MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_21,tone_count_21,goldstein_21,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_24,tone_count_24,goldstein_24,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_27,goldstein_27,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_32,tone_count_32,goldstein_32,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_44,tone_count_44,goldstein_44,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_54,tone_count_54,goldstein_54,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,tone_count_62,goldstein_62,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_104,tone_count_104,goldstein_104,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_129,tone_count_129,goldstein_129,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_143,tone_count_143,goldstein_143,event_count_150,tone_count_150,goldstein_150,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_161,tone_count_161,goldstein_161,event_count_163,tone_count_163,goldstein_163,event_count_164,tone_count_164,goldstein_164,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_181,tone_count_181,goldstein_181,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,2.006,111,606.9349809801743,1.0,6.5217391304347805,-0.1,15,91.08801051146126,-6.000000000000003,36.0,207.85813289951489,14.400000000000007,2.0,3.6363636363636402,0.0,0.0,1.0,4.05405405405405,-2.0,40.0,215.2471762602146,13.0,54.94271790675689,44.2,53,316.0909795712575,159.0,7.0,44.767143449113725,23.8,1.0,5.02283105022831,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6122448979591795,-0.3,14.0,84.84441736949545,56.0,1.0,4.0,19.0,99.1926330750974,76.0,4.0,31.12783408970428,20.8,0.0,0.0,0.0,12.0,82.72667230699578,66.4,1.0,8.15217391304348,7.0,120,711.0949100676382,480.0,167,1005.4931204180783,167.0,90,448.50309083722726,171.0000000000002,93,444.18648485101096,260.40000000000043,2.0,12.451361867704279,5.0,4.0,25.60608320745956,20.0,126,801.0798868805147,882.0,30,194.31518311371414,105.0,65,465.35215376566526,221.00000000000026,5.0,29.828868298190113,30.0,32.0,222.16948513557998,256.0,10.0,73.6211473279261,60.0,2.0,18.43575418994414,12.8,3.0,10.29411764705883,22.200000000000006,6.0,47.19796182515897,42.0,3.0,26.054989348479253,22.200000000000006,8.0,40.80615301512473,66.39999999999999,0.0,0.0,0.0,9.0,41.870006325581706,45.0,4.0,11.533270346875419,20.0,18.0,93.9216023096477,90.0,8,48.61673577533966,56.0,5.0,25.10956667052607,49.0,14.0,44.594046941782324,-28.0,6.0,34.68863788898269,-30.0,2.0,3.0828861061419217,-10.0,14.0,67.13193211017219,-28.0,15.0,72.60765572729815,-30.0,23,80.32825993289039,-46.0,6.0,26.27217333395064,-12.0,27,154.05768443451768,-108.0,2.0,13.13273685500675,-10.0,2.0,5.386119257087,-10.0,4.0,18.539033058089327,-20.0,7.0,28.543178390745158,-30.8,1.0,4.65587044534413,-7.0,4.0,31.39171310900246,-26.0,0.0,0.0,0.0,1.0,9.33333333333333,-7.2,3.0,18.795962509012263,-21.6,10.0,40.117088641363004,-40.0,2.0,11.35972461273666,-8.0,1.0,4.86725663716814,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,40.53746913267667,-65.0,35,106.34343310410995,-175.0,0.0,0.0,0.0,1.0,4.04624277456647,-9.0,0.0,0.0,0.0,5.0,14.084863389384449,-46.5,60.0,173.74661190932625,-600.0,0.0,0.0,0.0,28.0,64.11271135450211,-280.0
200802,2.009833333333333,102,590.4957829768683,6.0,28.88742919848892,-0.6,10,56.95887982621794,-4.0,32.0,203.58235346779477,12.800000000000004,8.0,42.03056558702831,0.0,0.0,4.0,24.16666666666668,-8.0,14.0,101.31529295490023,0.0,0.0,0.0,110,613.7276076771403,330.0,1.0,4.467353951890031,3.4,12.0,73.1760114894128,38.4,1.0,8.08823529411765,3.4,0.0,0.0,0.0,3.0,15.531819131664813,-0.8999999999999999,20.0,127.8361519461775,80.0,1.0,4.0,33.0,169.60657250570569,132.0,2.0,8.98960535588442,10.4,1.0,4.41176470588235,4.5,2.0,11.987381703470039,10.4,4.0,29.139433551198263,28.0,119,626.3436591281696,476.0,152,879.2213066250133,152.0,76,391.17501856259946,144.40000000000015,69,359.66706314303525,193.20000000000007,8.0,51.8862380929953,20.0,1.0,5.2219321148825095,5.0,179,1145.9371587969474,1253.0,31,258.9200071083668,108.5,74,573.0108901686192,251.60000000000028,12.0,83.2121924108467,72.0,49.0,357.02696970857454,392.0,6.0,42.492893860705756,36.0,1.0,8.35266821345708,6.4,0.0,0.0,0.0,19.0,126.13787786443376,133.0,5.0,27.721154358892345,37.0,2.0,8.934707903780062,16.6,2.0,8.529838563395609,14.8,8.0,46.075582718287954,40.0,2.0,3.73831775700934,10.0,1.0,2.7522935779816495,5.0,6,43.33533780353524,42.0,1.0,3.7209302325581404,9.0,6.0,29.413700238018393,-12.0,7.0,57.50673185885951,-35.0,11.0,53.105162583469884,-55.0,19.0,87.80114175480436,-38.0,21.0,128.6990500870376,-42.0,9,39.20478910573536,-18.0,2.0,20.126582278481,-4.0,34,189.10914110657882,-136.0,6.0,32.79962509117617,-30.0,0.0,0.0,0.0,16.0,91.45511258457087,-80.0,16.0,102.24023246435335,-70.39999999999998,3.0,8.02701112059483,-21.0,19.0,111.94934184072605,-123.5,2.0,8.641975308641982,-13.0,0.0,0.0,0.0,1.0,7.5,-7.2,1.0,6.415094339622639,-4.0,1.0,3.2407407407407405,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.1967213114754,-10.0,15,67.70837362482301,-75.0,0.0,0.0,0.0,2.0,4.41988950276244,-18.0,0.0,0.0,0.0,2.0,6.681361069017769,-19.0,14.0,104.12567909337534,-140.0,0.0,0.0,0.0,2.0,5.86080586080586,-20.0
200803,2.0136666666666665,144,878.4586507513741,5.0,26.300113349846807,-0.5,40,239.0645760084718,-16.000000000000007,41.0,240.7257686268691,16.400000000000006,28.0,171.77421189019714,0.0,0.0,2.0,9.865470852017939,-4.0,5.0,17.52802039734788,1.0,5.92197586303677,3.4,132,868.6513046139572,396.0,5.0,30.620829062088962,17.0,4.0,33.65181992337169,12.8,0.0,0.0,0.0,2.0,10.33962758982428,-0.6,6.0,32.75333499900153,-1.8,38.0,256.88612114366725,152.0,2.0,8.0,87.0,532.4712446444373,348.0,9.0,65.0373444162183,46.8,12.0,91.67414256130795,54.0,0.0,0.0,0.0,19.0,149.68302576849672,133.0,212,1210.6684662773366,848.0,284,1695.9551172266708,284.0,96,575.197270091919,182.40000000000026,93,559.0550102790784,260.4000000000003,24.0,180.3021740769832,60.0,7.0,40.07032401358916,35.0,304,1714.4424643344178,2128.0,40,237.4941510524937,140.0,83,602.7825778279707,282.2000000000002,12.0,87.06871305112095,72.0,20.0,147.1642848529364,160.0,9.0,77.04004080695198,54.0,4.0,31.203828725768304,25.6,2.0,11.607142857142858,14.8,20.0,133.7969978934857,140.0,0.0,0.0,0.0,8.0,22.701921237515194,66.4,6.0,35.066501912106226,44.4,22.0,135.85755063128843,110.0,1.0,7.11009174311927,5.0,9.0,46.983419619751224,45.0,10,60.45113197194871,70.0,4.0,24.29831138089559,40.0,6.0,29.12843389162396,-12.0,20.0,124.620932495491,-100.0,7.0,39.888491563691005,-35.0,46.0,274.1233849403997,-92.0,2.0,11.231948024434171,-4.0,11,61.855025695906285,-22.0,6.0,35.10737380456124,-12.0,44,274.9436085465961,-176.0,4.0,16.353918046200622,-20.0,1.0,4.645270270270269,-5.0,59.0,295.20039680381734,-295.0,29.0,189.85870634144638,-127.60000000000008,1.0,6.71641791044776,-7.0,14.0,60.21828583797279,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.302512302512287,-21.6,16.0,85.60703628907726,-64.0,6.0,29.872188321410647,-24.0,6.0,25.687009228086318,-48.0,8.0,44.46403300406658,-56.0,0.0,0.0,0.0,10.0,60.220216535680564,-50.0,14,64.14965656807121,-70.0,1.0,1.3986013986013999,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.19047619047619,-9.5,28.0,133.82001281708952,-280.0,0.0,0.0,0.0,7.0,15.740813663879349,-70.0
200804,2.0175,110,626.0935148380363,3.0,14.690721649484553,-0.30000000000000004,29,193.4581572055381,-11.600000000000005,42.0,260.0221767482542,16.800000000000004,7.0,46.462355678355046,2.0,9.20096852300242,3.0,15.224358974358976,-6.0,2.0,16.243475828955482,5.0,27.073609951139268,17.0,93,587.8636240942835,279.0,0.0,0.0,0.0,3.0,23.76754836500599,9.6,0.0,0.0,0.0,10.0,64.49402250794608,-3.0,7.0,36.01781657185704,-2.1,9.0,50.488785655329245,36.0,2.0,8.0,56.0,397.11466811573985,224.0,5.0,24.941628825443214,26.0,2.0,12.565044687189667,9.0,4.0,25.5510400445643,20.8,8.0,64.4189573246099,56.0,190,1235.7460860941665,760.0,194,1244.8322735558065,194.0,73,398.6997318576466,138.70000000000007,75,411.87711655165367,210.00000000000009,4.0,30.498533724340163,10.0,2.0,18.717504332755638,10.0,159,969.275132723506,1113.0,31,193.55107232187675,108.5,79,556.7232734736693,268.6000000000002,2.0,12.096123304433858,12.0,33.0,233.87450586624482,264.0,6.0,46.76391806259043,36.0,4.0,12.072225581267519,25.6,2.0,11.3564668769716,14.8,14.0,132.96190175206058,98.0,5.0,56.818696236879504,37.0,2.0,9.109730848861279,16.6,0.0,0.0,0.0,22.0,106.88912996362448,110.0,0.0,0.0,0.0,3.0,12.650421836300799,15.0,11,69.33091394839919,77.0,3.0,19.96082439107477,29.0,10.0,48.01009550721074,-20.0,24.0,146.86500129225894,-120.0,14.0,77.40462778585379,-70.0,50.0,318.91472895103533,-100.0,24.0,122.76997518953863,-48.0,18,86.79141152630237,-36.0,5.0,49.960678265428534,-10.0,71,425.6429757477197,-284.0,0.0,0.0,0.0,1.0,11.688311688311698,-5.0,47.0,286.7808266053625,-235.0,13.0,60.8384089658372,-57.19999999999999,5.0,23.08164044765686,-35.0,18.0,100.42161519817313,-117.0,0.0,0.0,0.0,4.0,14.033264033264038,-28.8,16.0,105.93571827571884,-115.20000000000003,12.0,73.45050659216959,-48.0,3.0,13.91565964246481,-12.0,0.0,0.0,0.0,9.0,64.96830021117344,-63.0,5.0,13.768659801941096,-46.0,14.0,76.45171425391544,-70.0,20,51.61771883190996,-100.0,0.0,0.0,0.0,3.0,6.45895676639539,-27.0,2.0,5.0,-18.0,0.0,0.0,0.0,16.0,115.99329606198128,-160.0,0.0,0.0,0.0,4.0,23.202508057248462,-40.0
200805,2.021333333333333,108,571.9443915107237,5.0,27.91827158441176,-0.5,26,151.51942780744687,-10.400000000000004,28.0,216.21793125756562,11.200000000000005,20.0,119.00318245950028,1.0,2.02020202020202,2.0,7.56866792010065,-4.0,4.0,28.217062318105818,5.0,34.97987274379951,17.0,87,616.4633450880983,261.0,5.0,23.091912648767853,17.0,0.0,0.0,0.0,4.0,26.16452911322783,13.6,5.0,46.08115686781443,-1.5,5.0,39.781309830329434,-1.5,3.0,18.06027709063676,12.0,0.0,0.0,12.0,68.51917555557284,48.0,5.0,35.95829918965675,26.0,0.0,0.0,0.0,31.0,273.476312567464,161.19999999999996,2.0,7.46268656716418,14.0,65,362.0899663718228,260.0,134,786.8040469493588,134.0,75,362.8429955520725,142.50000000000009,79,360.5056886666637,221.2000000000002,0.0,0.0,0.0,0.0,0.0,0.0,46,222.40101061978885,322.0,14,96.88951563063897,49.0,50,419.4687766884712,170.00000000000014,3.0,17.29735599109616,18.0,34.0,308.46082466805683,272.0,11.0,96.09388834163134,66.0,11.0,45.88712934584572,70.39999999999998,1.0,8.49056603773585,7.4,11.0,77.35538727307564,77.0,34.0,289.7662198730347,251.6000000000001,5.0,31.404885040507306,41.5,0.0,0.0,0.0,15.0,60.73602979652976,75.0,4.0,19.838231943495114,20.0,4.0,32.097614076293695,20.0,17,83.66216346659493,119.0,0.0,0.0,0.0,26.0,122.47653099002669,-52.0,6.0,33.11564331116489,-30.0,0.0,0.0,0.0,24.0,176.44309594509454,-48.0,42.0,240.8491374174491,-84.0,27,111.19588627320705,-54.0,4.0,16.473813669886088,-8.0,19,107.80792752851342,-76.0,3.0,16.9984511290454,-15.0,2.0,15.856528470280109,-10.0,2.0,16.071563801590308,-10.0,14.0,79.1554290182545,-61.59999999999999,1.0,3.4802784222737797,-7.0,16.0,101.82103513215175,-104.0,0.0,0.0,0.0,4.0,8.92094017094017,-28.8,2.0,11.22431353862648,-14.4,8.0,39.64642247065946,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.13513513513514,-27.6,9.0,43.55552531058936,-45.0,31,118.40737259552296,-155.0,0.0,0.0,0.0,5.0,28.346826337878515,-45.0,10.0,32.791830881236876,-90.0,7.0,23.649211328532036,-65.0,36.0,154.50560471295088,-360.0,4.0,17.90603012212459,-38.0,18.0,84.64381724395135,-180.0
200806,2.0251666666666663,213,915.2433922037637,6.0,33.25653288882821,-0.6,59,285.35182710138537,-23.59999999999999,57.0,280.39178933782944,22.799999999999986,23.0,122.70451293618208,9.0,52.93374004012944,8.0,28.559668471060647,-16.0,0.0,0.0,2.0,13.08903889424622,6.8,93,571.7685292331007,279.0,2.0,15.33546325878594,6.8,0.0,0.0,0.0,5.0,37.43047978544526,17.0,9.0,55.647455205002395,-2.7,1.0,4.6321525885558605,-0.3,10.0,61.042539610149795,40.0,0.0,0.0,34.0,217.3688460720787,136.0,1.0,7.142857142857139,5.2,3.0,30.9092863504673,13.5,2.0,11.724828375286037,10.4,2.0,11.65068973579612,14.0,110,648.4037399409917,440.0,111,672.6551438628949,111.0,75,382.1612391052192,142.50000000000014,70,349.2501851009467,196.00000000000009,0.0,0.0,0.0,11.0,56.049361381711776,55.0,106,592.0772985776023,742.0,17,87.05065905027645,59.5,109,669.0019198130052,370.5999999999997,1.0,5.62751871042027,6.0,7.0,65.38607319887791,56.0,15.0,97.24766981302812,90.0,2.0,8.547008547008542,12.8,2.0,7.947019867549661,14.8,24.0,125.49882692248192,168.0,7.0,37.77875759938013,51.8,1.0,3.16205533596838,8.3,0.0,0.0,0.0,12.0,57.891507906069535,60.0,0.0,0.0,0.0,7.0,44.74496981011917,35.0,11,91.66076995298741,77.0,3.0,12.545592913827528,30.0,110.0,408.3732968663253,-220.0,14.0,88.10040544313426,-70.0,2.0,12.03034801253505,-10.0,38.0,200.12499917624848,-76.0,37.0,194.63276924231602,-74.0,55,208.12918216311402,-110.0,17.0,64.63315819894784,-34.0,45,254.0621828014571,-180.0,11.0,64.1949197808702,-55.0,0.0,0.0,0.0,18.0,86.20979632322478,-90.0,6.0,25.66458525140565,-26.4,2.0,9.36454849498328,-14.0,16.0,97.17585645017635,-104.0,0.0,0.0,0.0,9.0,38.263692446911676,-64.80000000000001,3.0,10.87375886524822,-21.6,9.0,58.95226279259895,-36.0,1.0,8.717948717948719,-4.0,0.0,0.0,0.0,3.0,12.945492662473788,-21.0,3.0,7.89473684210526,-27.6,6.0,25.32789997447249,-30.0,96,288.45521370398325,-480.0,0.0,0.0,0.0,8.0,32.612535612535616,-72.0,21.0,68.13620275983226,-189.0,14.0,50.45484113617688,-130.5,200.0,621.8559669406704,-2000.0,4.0,18.74325728428418,-38.0,89.0,404.97802528380026,-890.0
200807,2.029,60,331.09542714022683,0.0,0.0,0.0,16,96.50367814072789,-6.400000000000001,14.0,72.29997327357924,5.6000000000000005,6.0,28.407813056899148,0.0,0.0,13.0,47.991836062211846,-26.0,5.0,25.785616303990302,1.0,4.94252873563218,3.4,73,425.2773498799791,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.09278350515464,-0.3,1.0,6.5217391304347805,-0.3,4.0,23.63919559000712,16.0,0.0,0.0,24.0,175.2703052992761,96.0,4.0,29.184443128657307,20.8,1.0,18.181818181818198,4.5,2.0,15.044247787610619,12.0,3.0,22.66958563360619,21.0,83,559.3531201050754,332.0,89,478.5165715132048,89.0,83,451.5417915686596,157.70000000000022,84,432.86531385867033,235.20000000000027,1.0,6.857142857142861,2.5,1.0,7.3469998503666,5.0,27,130.85182281139382,189.0,18,99.53458705684076,63.0,65,523.4800504245253,221.0000000000002,4.0,30.05924006109129,24.0,20.0,131.36565969565535,160.0,11.0,62.99443808832879,66.0,2.0,10.530339225991401,12.8,2.0,4.98960498960498,14.8,9.0,71.48650229869916,63.0,8.0,52.52618330061482,59.2,0.0,0.0,0.0,3.0,19.338316453980372,22.200000000000006,20.0,107.96026497408087,100.0,25.0,159.15266851278486,125.0,0.0,0.0,0.0,19,123.40644447345522,133.0,2.0,6.452556139370562,20.0,13.0,49.05513594590303,-26.0,12.0,66.10407805336514,-60.0,1.0,3.4220532319391603,-5.0,19.0,120.52964224455104,-38.0,18.0,84.91023069512809,-36.0,44,157.87196869661275,-88.0,2.0,10.708344388181727,-4.0,31,188.6295515645324,-124.0,5.0,55.51518673082445,-25.0,0.0,0.0,0.0,3.0,13.971456988263581,-15.0,3.0,16.744507910820612,-13.2,3.0,9.583428181197359,-21.0,13.0,60.26015914044618,-84.5,3.0,16.131019036954083,-19.5,0.0,0.0,0.0,1.0,4.78260869565217,-7.2,6.0,46.50254262591847,-24.0,0.0,0.0,0.0,17.0,89.27719958928003,-136.0,2.0,14.6939997007332,-14.0,3.0,0.0,-27.6,4.0,18.126941673524307,-20.0,87,329.38981802103734,-435.0,4.0,13.901938085813502,-20.0,4.0,24.721918600913,-36.0,0.0,0.0,0.0,2.0,9.190195782374552,-19.0,29.0,123.81977719219284,-290.0,1.0,5.624688899950219,-9.5,6.0,18.05834369569845,-60.0
200808,2.032833333333333,72,408.52925602845085,2.0,11.998600118451519,-0.2,4,25.775336152971818,-1.6,35.0,151.9189426801739,14.000000000000007,4.0,20.44654575826274,0.0,0.0,6.0,37.6093101554746,-12.0,18.0,110.90291561692915,0.0,0.0,0.0,51,298.1743689338908,153.0,0.0,0.0,0.0,1.0,4.23452768729642,3.2,2.0,13.33333333333334,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.12820512820512,8.0,0.0,0.0,17.0,91.11527517912742,68.0,1.0,7.87671232876712,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,384.5509820933084,260.0,81,519.4146669874854,81.0,43,285.7199155597293,81.70000000000002,37,248.277687795184,103.59999999999997,0.0,0.0,0.0,1.0,3.73831775700935,5.0,43,223.2900824939577,301.0,12,106.39424307272928,42.0,53,364.06654726624396,180.2000000000001,6.0,43.13951827897382,36.0,23.0,149.24100776467415,184.0,5.0,19.166666666666657,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.367278366502973,14.0,4.0,35.545830055074724,29.6,0.0,0.0,0.0,0.0,0.0,0.0,23.0,129.09622109725493,115.0,3.0,20.857543578441188,15.0,1.0,5.33333333333333,5.0,2,8.41101260341409,14.0,3.0,18.93877551020407,30.0,6.0,20.607137895088247,-12.0,23.0,90.2804096830103,-115.0,0.0,0.0,0.0,11.0,68.77317771926576,-22.0,7.0,36.95325953873608,-14.0,16,89.65186931893815,-32.0,0.0,0.0,0.0,45,230.1952506754162,-180.0,5.0,21.51358175312369,-25.0,1.0,4.73537604456824,-5.0,6.0,15.4144499208556,-30.0,8.0,42.095821532034066,-35.2,0.0,0.0,0.0,1.0,7.284768211920531,-6.5,0.0,0.0,0.0,1.0,2.56410256410256,-7.2,1.0,5.80645161290323,-7.2,1.0,6.921241050119329,-4.0,0.0,0.0,0.0,3.0,20.883619269787978,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.4935163996948906,-10.0,7,50.44463511166163,-35.0,1.0,5.790838375108041,-5.0,3.0,15.398557196839581,-27.0,1.0,4.93537015276146,-9.0,0.0,0.0,0.0,21.0,94.38658287534041,-210.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.036666666666666,75,398.61972789055005,2.0,6.35803754723156,-0.2,5,24.80164481251439,-2.0,10.0,48.15055344080979,4.0,6.0,42.446599860561,0.0,0.0,6.0,29.16377597867464,-12.0,1.0,7.15835140997831,2.0,16.0621761658031,6.8,44,239.5758549167947,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.6335246023415,16.0,0.0,0.0,17.0,120.34581988758823,68.0,1.0,2.6615969581748997,5.2,1.0,8.52459016393443,4.5,1.0,4.66321243523316,6.0,0.0,0.0,0.0,86,460.43469515826166,344.0,128,776.9185065354782,128.0,93,479.32087542774076,176.70000000000027,84,465.610754601272,235.20000000000016,0.0,0.0,0.0,0.0,0.0,0.0,68,404.01919685940896,476.0,9,69.52413658390796,31.5,47,386.4438130008937,159.80000000000013,10.0,61.8039934039396,60.0,39.0,365.09037590916466,312.0,20.0,95.00659873915606,120.0,7.0,23.03262266407928,44.8,1.0,4.40944881889764,7.4,5.0,62.59251465495488,35.0,1.0,6.73076923076923,7.4,3.0,16.6956099665624,24.9,0.0,0.0,0.0,19.0,94.19106236380257,95.0,0.0,0.0,0.0,2.0,15.612382234185741,10.0,13,75.97863429726414,91.0,0.0,0.0,0.0,4.0,31.54086408068666,-8.0,9.0,49.1619523372736,-45.0,0.0,0.0,0.0,18.0,80.81354229679769,-36.0,6.0,29.911316487493075,-12.0,22,77.46313008975554,-44.0,0.0,0.0,0.0,33,222.39765043088417,-132.0,7.0,24.36317662483613,-35.0,0.0,0.0,0.0,1.0,3.03951367781155,-5.0,4.0,21.66868515088428,-17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.699975049900201,-7.2,3.0,20.63191266209,-12.0,2.0,20.5128205128206,-8.0,9.0,32.16873442541686,-72.0,0.0,0.0,0.0,2.0,17.04918032786886,-18.4,2.0,4.5727724065848,-10.0,10,35.512969510440925,-50.0,0.0,0.0,0.0,1.0,1.48148148148148,-9.0,0.0,0.0,0.0,1.0,2.58620689655172,-9.0,13.0,40.19619920168949,-130.0,1.0,1.4218009478673,-9.5,1.0,4.78260869565217,-10.0
200810,2.0405,131,800.3790254397987,2.0,18.4,-0.2,29,156.28242230713155,-11.600000000000005,36.0,248.29063717294358,14.400000000000007,11.0,52.46460968571022,1.0,4.451510333863269,5.0,26.1727735193222,-10.0,8.0,58.837786762766974,0.0,0.0,0.0,126,746.324278734092,378.0,2.0,12.25626740947076,6.8,0.0,0.0,0.0,3.0,18.449459422004203,10.2,0.0,0.0,0.0,3.0,24.06379758008067,-0.8999999999999999,11.0,80.97050354292129,44.0,2.0,8.0,55.0,420.2190818024655,220.0,9.0,53.25740478959376,46.8,4.0,38.40477669634851,18.0,3.0,23.97029817844297,17.2,6.0,34.98569253964092,42.0,121,659.762068372576,484.0,231,1558.2702856465398,231.0,77,443.30518130738733,146.30000000000015,82,453.9783828068177,229.60000000000016,1.0,5.64516129032258,2.5,1.0,4.62962962962963,5.0,113,675.6175221814572,791.0,15,107.19456547246584,52.5,114,874.1489231551822,387.5999999999996,31.0,228.33107836335827,186.0,53.0,485.9196216444909,424.0,25.0,154.3366638579061,150.0,1.0,4.16666666666667,6.4,0.0,0.0,0.0,19.0,130.4367219509059,133.0,6.0,43.99157719997292,44.4,0.0,0.0,0.0,2.0,9.52380952380952,14.8,6.0,46.57852959629985,30.0,4.0,10.38405756905901,20.0,3.0,20.04691083980762,15.0,19,121.5082358208405,133.0,5.0,22.36826236149023,50.0,28.0,120.81150030937195,-56.0,18.0,124.37482087046276,-90.0,13.0,71.98795754364166,-65.0,26.0,170.06304751733188,-52.0,21.0,85.89956184106941,-42.0,13,64.90814251547081,-26.0,4.0,13.899390979911127,-8.0,49,252.1632357330677,-196.0,4.0,15.165043557276338,-20.0,2.0,15.611814345991561,-10.0,7.0,37.93610207367747,-35.0,6.0,33.262301089694304,-26.4,2.0,12.978320966099231,-14.0,18.0,75.5749364579432,-117.0,0.0,0.0,0.0,9.0,22.25573772559547,-64.80000000000001,2.0,8.43373493975904,-14.4,2.0,11.013745200902669,-8.0,1.0,7.45554035567716,-4.0,3.0,20.7221333271307,-24.0,0.0,0.0,0.0,4.0,10.005580170144027,-36.8,10.0,27.946891450368618,-50.0,41,127.520020704403,-205.0,7.0,55.56204934733679,-35.0,3.0,11.292553428813632,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,57.960708069637136,-150.0,1.0,4.36107102773769,-9.5,0.0,0.0,0.0
