MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_182,tone_count_182,goldstein_182,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,1.922,9,48.507103291700055,3.0,12.931034482758632,-1.2000000000000002,1.0,3.79888268156425,0.4,1.0,7.142857142857139,1.0,4.81040366288462,7.0,61.585666273144405,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.24607329842932,5.2,0.0,0.0,0.0,1.0,5.555475752700531,1.0,7,24.711613645130328,13.3,4.0,21.05858496031907,11.2,1.0,8.26086956521739,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.35117056856187,8.0,6.0,28.674345910673342,36.0,2.0,12.19376841512754,12.8,0.0,0.0,0.0,3.0,20.29102927842289,22.200000000000006,1.0,6.81818181818182,7.4,1.0,5.00963391136801,5.0,0.0,0.0,0.0,3.0,24.45845750464893,21.0,1.0,4.89977728285078,-2.0,1.0,4.32190760059613,-5.0,4.0,28.736538015038125,-8.0,0.0,0.0,0.0,10.0,56.68004271630396,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.80349344978166,-5.0,0.0,0.0,0.0,1.0,3.0888030888030897,-10.0,1.0,0.5714285714285711,-9.5,0.0,0.0,0.0
200802,1.922,6,33.37953749045633,3.0,14.96032913113756,-1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.85100811730818,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.665535956580637,12.0,1.0,10.7954545454545,5.2,0.0,0.0,0.0,1.0,6.54205607476635,4.0,9.0,47.529269629139,9.0,5,25.031182263086077,9.5,3.0,13.72927343985528,8.399999999999999,8.0,43.231527832461516,56.0,0.0,0.0,0.0,2.0,9.855072463768119,6.8,1.0,8.52130325814536,8.0,3.0,16.6882276843467,18.0,2.0,14.040292303566591,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.855072463768119,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.73762945914844,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.07462686567164,-4.0,0.0,0.0,0.0,1.0,5.07462686567164,-5.0,0.0,0.0,0.0,2.0,10.94344159524586,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
200803,1.922,4,20.46739259963348,1.0,6.07950486243749,-0.4,1.0,4.67289719626168,0.4,0.0,0.0,0.0,0.0,1.0,11.6113744075829,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,89.52401529306151,44.0,0.0,0.0,0.0,9,38.983406562929176,17.1,5.0,36.816564917059935,14.0,2.0,6.06060606060606,14.0,0.0,0.0,0.0,1.0,6.46464646464646,3.4,0.0,0.0,0.0,2.0,14.49450754049526,12.0,0.0,0.0,0.0,1.0,7.21205597416577,7.0,2.0,13.633129834119758,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.47374961168064,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.32432432432432,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.14942528735632,-5.0,0.0,0.0,0.0,1.0,2.07253886010363,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.922,1,7.142857142857139,2.0,8.844132557724791,-0.8,2.0,14.41900547724994,0.8,0.0,0.0,0.0,0.0,2.0,8.6358272961417,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.32587493840334,10.4,0.0,0.0,0.0,2.0,18.08510638297872,8.0,2.0,13.75,2.0,4,17.25250730292579,7.6,3.0,10.037174721189599,8.399999999999999,1.0,11.752340970776999,7.0,0.0,0.0,0.0,2.0,13.75,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.773226508197588,14.0,3.0,17.769294125503603,22.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.058082038664562,-6.0,0.0,0.0,0.0,1.0,3.3457249070632007,-2.0,0.0,0.0,0.0,1.0,4.28332174691398,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.28332174691398,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2903225806451621,-10.0,1.0,1.5625,-9.5,2.0,15.02999964295184,-20.0,0.0,0.0,0.0,1.0,6.5015479876160995,-10.0
200805,1.922,10,30.087796117754888,3.0,21.75680680017858,-1.2000000000000002,3.0,11.774806528451588,1.2000000000000002,1.0,4.77099236641221,0.0,0.0,3.0,16.25851483834261,9.0,0.0,0.0,0.0,1.0,5.396825396825401,4.0,4.0,22.332530003009843,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.099049145534536,20.0,2.0,6.59918609463375,2.0,1,6.478209658421671,1.9,1.0,6.478209658421671,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.564407324124641,6.8,0.0,0.0,0.0,1.0,1.1363636363636398,6.0,0.0,0.0,0.0,7.0,32.3376380310687,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51883477538066,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.61165048543689,-2.0,1.0,5.46282245827011,-2.0,3.0,13.700348130689552,-6.0,0.0,0.0,0.0,1.0,4.51883477538066,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.478209658421671,-4.0,1.0,3.75,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.40851553509781,-10.0,0.0,0.0,0.0,1.0,1.1363636363636398,-10.0
200806,1.922,10,52.004240793184316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.14783478387528,15.0,1.0,3.7593984962406,3.4,0.0,0.0,0.0,4.0,13.356090952544449,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,88.01371199476019,40.0,6.0,31.7683613901162,6.0,10,72.10682175232026,19.0,7.0,53.406699353299466,19.6,3.0,18.404907975460123,21.0,0.0,0.0,0.0,2.0,16.556925692966207,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.741446725317697,-20.0,2.0,10.2548656163114,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.51785680418089,-20.0,1.0,3.7593984962406,-9.0,1.0,3.3041172969756003,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.922,40,269.1040276556672,0.0,0.0,0.0,4.0,26.575712590009083,1.6,3.0,16.1109101868595,0.0,0.0,28.0,204.60682219771184,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.34921348496039,15.6,11.0,86.42461307732214,44.0,24.0,162.28426135836926,24.0,22,172.921527393259,41.799999999999976,18.0,147.92175036181249,50.399999999999984,12.0,105.90745968647323,84.0,1.0,4.79896238651103,3.5,27.0,218.88552662525692,91.80000000000004,4.0,16.91542288557216,32.0,8.0,68.50812681999169,48.0,0.0,0.0,0.0,3.0,21.13246182089612,21.0,2.0,15.03402122128099,14.8,0.0,0.0,0.0,4.0,22.302409028908787,20.0,0.0,0.0,0.0,2.0,9.52380952380952,14.0,2.0,5.0632911392405,-4.0,4.0,24.78499823799778,-20.0,6.0,32.225923426598946,-12.0,4.0,28.97003922595077,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.29207232267038,-8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.87022900763359,-5.0,5.0,24.588743956865397,-25.0,1.0,10.1538461538462,-9.0,5.0,12.658227848101248,-50.0,0.0,0.0,0.0,2.0,17.961654894046422,-20.0
200808,1.922,3,17.97106735443109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.65865020041165,6.0,27.38448035528962,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.474777448071217,1.0,13,39.09240010765308,24.699999999999992,11.0,28.31482021628007,30.8,2.0,12.87356321839081,14.0,0.0,0.0,0.0,8.0,48.945042034202615,27.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.563079495364041,12.8,3.0,19.267485461724988,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.10536980749747,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.79055750878955,-25.0,0.0,0.0,0.0,1.0,2.8436018957346,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.922,6,38.551264110432356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.71252281927853,15.0,3.0,20.534402626337577,10.2,0.0,0.0,0.0,2.0,21.7917675544794,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24.80245965529058,5.699999999999998,2.0,16.144450997281922,5.6,0.0,0.0,0.0,5.0,31.339040175012627,17.5,7.0,47.33662131313128,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.43356643356643,7.0,0.0,0.0,0.0,1.0,4.9049049049049005,7.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.66389102227253,21.0,2.0,13.998460556857381,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.97236186462008,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.03550295857988,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.070707070707071,-5.0,1.0,1.53846153846154,-5.0,0.0,0.0,0.0,1.0,9.426229508196721,-10.0,4.0,17.824892105823377,-38.0,0.0,0.0,0.0
200810,1.922,9,53.01052506064754,1.0,9.93788819875776,-0.4,3.0,23.65017067710556,1.2000000000000002,0.0,0.0,2.0,11.15646258503402,8.0,51.0579233754009,24.0,5.0,40.688543280049316,17.0,0.0,0.0,0.0,1.0,4.18410041841004,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.967258747839631,16.0,3.0,23.647102104938693,3.0,17,94.03283512355394,32.29999999999999,19.0,99.67486685025403,53.19999999999998,2.0,12.34798877455566,14.0,6.0,40.181933433479564,21.0,7.0,63.369429763694505,23.8,0.0,0.0,0.0,3.0,16.18377483443708,18.0,0.0,0.0,0.0,3.0,25.77954113369447,21.0,2.0,16.49860861024718,14.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.99296791910726,10.0,1.0,5.9859154929577505,7.0,1.0,7.67263427109974,-2.0,1.0,2.7923211169284503,-5.0,2.0,17.7490976703489,-4.0,2.0,8.36820083682008,-4.0,0.0,0.0,0.0,2.0,8.70099196976854,-4.0,2.0,16.22820450820773,-8.0,4.0,30.21042021178513,-17.6,3.0,17.721422004290527,-19.5,1.0,9.63855421686747,-4.0,3.0,10.122983990366581,-15.0,10.0,21.032703382296397,-50.0,0.0,0.0,0.0,2.0,12.359550561797759,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
