MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_21,tone_count_21,goldstein_21,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_24,tone_count_24,goldstein_24,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_27,goldstein_27,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_32,tone_count_32,goldstein_32,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_41,tone_count_41,goldstein_41,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_44,tone_count_44,goldstein_44,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_52,tone_count_52,goldstein_52,event_count_53,tone_count_53,goldstein_53,event_count_54,tone_count_54,goldstein_54,event_count_55,tone_count_55,goldstein_55,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,tone_count_62,goldstein_62,event_count_63,tone_count_63,goldstein_63,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_75,tone_count_75,goldstein_75,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_101,tone_count_101,goldstein_101,event_count_104,tone_count_104,goldstein_104,event_count_105,tone_count_105,goldstein_105,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_124,tone_count_124,goldstein_124,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_130,tone_count_130,goldstein_130,event_count_133,goldstein_133,event_count_138,tone_count_138,goldstein_138,event_count_140,tone_count_140,goldstein_140,event_count_141,tone_count_141,goldstein_141,event_count_142,tone_count_142,goldstein_142,event_count_143,tone_count_143,goldstein_143,event_count_145,tone_count_145,goldstein_145,event_count_150,tone_count_150,goldstein_150,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_161,tone_count_161,goldstein_161,event_count_163,tone_count_163,goldstein_163,event_count_164,tone_count_164,goldstein_164,event_count_170,tone_count_170,goldstein_170,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_175,tone_count_175,goldstein_175,event_count_180,tone_count_180,goldstein_180,event_count_181,tone_count_181,goldstein_181,event_count_182,tone_count_182,goldstein_182,event_count_183,tone_count_183,goldstein_183,event_count_186,tone_count_186,goldstein_186,event_count_190,tone_count_190,goldstein_190,event_count_191,tone_count_191,goldstein_191,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193,event_count_194,tone_count_194,goldstein_194,event_count_195,tone_count_195,goldstein_195
200801,1.8119999999999998,21,125.1088316531276,0.0,0.0,0.0,5,19.30394086805968,-2.0,3,39.13478430607065,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.240641711229939,0.0,0.0,0.0,12,58.80756329843932,36.0,0.0,0.0,0.0,1.0,4.825291181364389,3.2,1.0,8.1140350877193,3.4,0.0,0.0,0.0,4.0,19.3747307958974,-1.2,0.0,0.0,0.0,0.0,0.0,2,23.0547550432276,8.0,1.0,4.08163265306122,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,62.344406227519634,36.0,10,50.22694040530189,10.0,0.0,0.0,0.0,24,145.99557319243232,45.59999999999998,22,148.379192540758,61.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,8,29.407675194660765,56.0,0.0,0.0,0.0,10,76.94192078508087,33.99999999999999,3.0,18.3938277365044,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,46.72117659759175,42.0,1.0,5.8679706601467005,6.4,0.0,0.0,0.0,0.0,0.0,0.0,2,20.683306055646483,14.0,4.0,25.813091807328075,29.6,0.0,0.0,0.0,2.0,23.7918215613382,14.8,0.0,0.0,0.0,4.0,20.000092970997468,20.0,1.0,6.111111111111111,5.0,0.0,0.0,0.0,7,40.82733292338112,49.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.922260970648068,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11.607064128887611,-4.0,16.0,84.324641973251,-32.0,3,10.038051526981,-6.0,0.0,0.0,0.0,8,36.761091027481044,-32.0,2.0,9.52380952380952,-8.0,0.0,0.0,0.0,1.0,2.38907849829352,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.575086109081756,-46.0,14.0,72.06136635480786,-70.0,53,200.18293864307893,-265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.39708412879145,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,29,97.43423316499045,-290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200802,1.811583333333333,43,201.2771858022931,3.0,10.62938084797519,-0.30000000000000004,9,41.728829500606935,-3.6,4,16.210185713897282,1.6,2.0,6.96864111498258,2.0,10.351552064967679,4.0,18.71647260536244,-8.0,1.0,12.269938650306699,1.0,7.40740740740741,3.4,29,157.41638719267038,87.0,2.0,9.433962264150939,6.8,0.0,0.0,0.0,2.0,12.96854082998661,6.8,0.0,0.0,0.0,1.0,3.81944444444444,-0.3,9.0,47.809564282441386,36.0,0.0,0.0,2,14.696081045054653,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2195121951219499,6.0,2.0,7.47036457168419,14.0,25,178.28465714803082,100.0,115,497.666293052099,115.0,0.0,0.0,0.0,38,211.98332243090616,72.2,33,168.00175644094588,92.39999999999996,1.0,5.76036866359447,2.5,0.0,0.0,0.0,17,76.1808905581856,119.0,8.0,60.249959886437274,28.0,19,132.39550528891513,64.59999999999998,2.0,15.28027793778802,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,76.19240274187683,80.0,2,11.10637648531307,12.0,2.0,15.325670498084301,12.8,0.0,0.0,0.0,5.0,23.21369299621513,37.0,1,7.40740740740741,7.0,3.0,21.467926013380566,22.200000000000006,0.0,0.0,0.0,2.0,9.7201248777157,14.8,4.0,15.071309203050099,28.0,13.0,78.18649683878843,65.0,1.0,5.12820512820513,5.0,1.0,7.26978998384491,5.0,24,103.66061840990334,168.0,0.0,0.0,0.0,17.0,72.94991987123935,-34.0,8.0,47.39557494240553,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,42.59761788358829,-20.0,13.0,41.23677173588268,-26.0,54,217.12058403883597,-108.0,4.0,14.93401660956459,-8.0,13,71.4905197512897,-52.0,1.0,2.8112449799196804,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.406168646818733,-13.2,0.0,0.0,1.0,0.609756097560976,-7.0,0.0,0.0,0.0,7.0,28.703718602983603,-45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,47.165707608559075,-36.0,2.0,6.87960687960688,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.918308536299008,-15.0,76,282.9555014041283,-380.0,12.0,51.34979876713536,-60.0,0.0,0.0,0.0,1.0,3.46621491733949,-9.0,10.0,31.022284294771943,-90.0,5.0,33.12760117406367,-45.0,0.0,0.0,0.0,7.0,30.49141726469601,-70.0,49,180.014102892965,-490.0,0.0,0.0,0.0,1.0,1.94805194805195,-9.5,11.0,35.76518593480794,-110.0,0.0,0.0,0.0,0.0,0.0,0.0
200803,1.8111666666666668,35,159.78187708850302,0.0,0.0,0.0,8,37.971383196797106,-3.2,9,57.1578009074298,3.6,3.0,13.536438089770536,2.0,13.93948926630935,4.0,7.64314838830278,-8.0,2.0,14.452938365981838,1.0,6.50793650793651,3.4,23,133.27194870021373,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.66756320434752,-2.1,2.0,3.32541567695962,8.0,0.0,0.0,3,32.9749150963093,12.0,2.0,17.43041348955428,10.4,0.0,0.0,0.0,2.0,21.328671328671398,10.4,5.0,32.881265947162404,35.0,26,181.024332743102,104.0,44,273.72352590193594,44.0,2.0,2.4440019910403197,2.0,75,356.87861713601296,142.50000000000014,81,385.39235391121355,226.80000000000027,0.0,0.0,0.0,0.0,0.0,0.0,26,153.12955580824462,182.0,14.0,83.79592209209667,49.0,17,116.75940600040737,57.79999999999998,0.0,0.0,0.0,1.0,6.50793650793651,3.8,0.0,0.0,0.0,0.0,0.0,0.0,11.0,79.71261508913717,88.0,2,16.449405858197252,12.0,5.0,16.88665615970579,32.0,0.0,0.0,0.0,4.0,18.99109792284868,29.6,10,68.68208952674853,70.0,7.0,47.73591387998167,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,286.86367923711083,350.0,0.0,0.0,0.0,46.0,205.6296390290139,-92.0,1.0,6.559263521288839,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,251.3324106781343,-250.0,7,29.818476683408424,-14.0,5.0,26.051292501291012,-10.0,20,81.25136269326197,-40.0,2.0,14.056087185067142,-4.0,10,52.25879175541174,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,64.50733370876408,-65.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.24908328342795,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.66209906507208,-28.8,1.0,2.34113712374582,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.11034055010104,-10.0,109,566.0709239495363,-545.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,59.7787773970917,-117.0,72.0,342.39129447822563,-648.0,1.0,7.51234170422838,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,13,40.93231002202693,-130.0,0.0,0.0,0.0,10.0,22.06694872472781,-95.0,4.0,15.52521245546589,-40.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.81075,35,197.2203821844786,0.0,0.0,0.0,7,49.78403929910007,-2.8,5,24.878572457634807,2.0,6.0,42.94534951503071,0.0,0.0,2.0,11.17471122112212,-4.0,2.0,14.26082332550651,1.0,1.11111111111111,3.4,15,86.8815639054041,45.0,8.0,31.293881644934803,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.46411107152015,-1.2,1.0,6.162464985994401,4.0,0.0,0.0,7,47.26614639648897,28.0,1.0,5.150214592274679,5.2,0.0,0.0,0.0,1.0,9.71014492753623,5.2,1.0,10.6232294617564,7.0,41,220.18236877136712,164.0,50,335.82511313595796,50.0,0.0,0.0,0.0,71,404.9653318071701,134.90000000000015,69,379.09474370705686,193.20000000000007,5.0,47.35376044568245,12.5,0.0,0.0,0.0,10,69.0812296096645,70.0,5.0,32.989919205894,17.5,47,286.20030962535606,159.80000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,37.696091419497,80.0,7,32.682325794267065,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.2026286033873,14.8,3,24.97408258431132,21.0,5.0,22.805978087437502,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.867364746945901,10.0,1.0,4.02684563758389,5.0,0.0,0.0,0.0,8,52.955950243492744,56.0,0.0,0.0,0.0,4.0,31.122382624528534,-8.0,1.0,6.100478468899519,-5.0,0.0,0.0,0.0,4.0,16.825221977729562,-20.0,7.0,24.68178313885744,-35.0,2,11.18627210142539,-4.0,3.0,22.903157114811822,-6.0,8,26.268216820202593,-16.0,0.0,0.0,0.0,4,25.12134240011158,-16.0,4.0,13.8175225361633,-16.0,0.0,0.0,0.0,2.0,2.75279011761654,-10.0,2.0,14.1489826216051,-8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.113566634786338,-26.0,4.0,18.40687619478008,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.81083131439199,-27.6,0.0,0.0,0.0,31,128.67646966541278,-155.0,1.0,4.551201011378,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,37.008996952380826,-81.0,1.0,1.1695906432748502,-9.0,1.0,4.0,-10.0,0.0,0.0,0.0,20,57.04110320079928,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.458672470557726,-50.0,2.0,9.656188105882961,-20.0,0.0,0.0,0.0
200805,1.8103333333333331,37,273.483294464105,0.0,0.0,0.0,6,54.33398787494258,-2.4,7,48.83153239175175,2.8,5.0,26.31198899406158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.3792449994197,3.4,24,158.0059800450894,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.15011151273278,-0.6,1.0,5.851063829787231,4.0,0.0,0.0,19,107.39192139798008,76.0,3.0,16.227057832817618,15.6,0.0,0.0,0.0,2.0,12.32583394803704,10.4,0.0,0.0,0.0,53,293.58530176883636,212.0,38,224.02185587058509,38.0,0.0,0.0,0.0,57,288.1890767728762,108.30000000000008,68,364.0833281645803,190.40000000000006,0.0,0.0,0.0,0.0,0.0,0.0,33,283.89980124632933,231.0,6.0,48.00655532691193,21.0,44,331.26886481523564,149.6000000000001,2.0,11.44640998959418,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.56964909615676,64.0,3,18.25228607763581,18.0,1.0,1.85185185185185,6.4,0.0,0.0,0.0,0.0,0.0,0.0,6,56.85669507297492,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.34000151865124,7.4,0.0,0.0,0.0,11.0,53.35983876971105,55.0,2.0,2.4,10.0,2.0,20.675944333996,10.0,6,32.3522011221066,42.0,0.0,0.0,0.0,7.0,29.56914371422831,-14.0,7.0,35.91726829214047,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.519813519813518,-10.0,3,19.34568909531025,-6.0,8.0,17.39213916961883,-16.0,1,3.61990950226244,-2.0,0.0,0.0,0.0,9,44.73602775094674,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.226988729783848,-13.2,0.0,0.0,1.0,5.8862216376192,-7.0,0.0,0.0,0.0,1.0,4.41176470588235,-6.5,7.0,34.15679743715335,-45.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.2542372881356,-14.4,1.0,7.0257611241217806,-7.2,0.0,0.0,0.0,1.0,5.72320499479709,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5611142694712905,-7.0,0.0,0.0,0.0,14.0,76.94175015176904,-70.0,22,93.22324358529,-110.0,2.0,10.271903323262839,-10.0,0.0,0.0,0.0,2.0,15.122228538942581,-18.0,3.0,17.57979923302504,-27.0,6.0,12.092376974095593,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,19,60.80059971860285,-190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,1.8099166666666664,28,145.78042103815346,2.0,10.8738194503531,-0.2,15,77.64173422038857,-6.000000000000001,5,31.11336900900508,2.0,0.0,0.0,3.0,17.14976421178533,4.0,19.671097345540066,-8.0,0.0,0.0,0.0,0.0,0.0,27,146.1743490675225,81.0,0.0,0.0,0.0,3.0,10.162259404016881,9.6,1.0,4.94071146245059,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.060851381489561,12.0,0.0,0.0,4,33.119370014624465,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.04255319148936,6.0,2.0,13.370546372297133,14.0,4,26.34414711559967,16.0,27,207.90569976317246,27.0,0.0,0.0,0.0,37,164.6833423855366,70.29999999999998,39,225.65562586308153,109.19999999999996,0.0,0.0,0.0,0.0,0.0,0.0,21,120.34263508123352,147.0,1.0,5.042016806722691,3.5,14,82.13430859837871,47.59999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.56565656565657,6.0,0.0,0.0,0.0,9.0,44.78525994368324,72.0,3,13.978494623655903,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.544531922632071,29.6,1,6.56565656565657,7.0,2.0,8.30188679245283,14.8,0.0,0.0,0.0,2.0,19.0677966101695,14.8,0.0,0.0,0.0,2.0,9.79020979020978,10.0,1.0,3.92523364485981,5.0,0.0,0.0,0.0,4,28.898906547436336,28.0,0.0,0.0,0.0,6.0,25.929680240225505,-12.0,10.0,60.028151425293004,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.8738194503531,-15.0,7,49.87292592496479,-14.0,0.0,0.0,0.0,10,50.4799850834402,-20.0,1.0,3.59861591695502,-2.0,12,49.14614331400731,-48.0,0.0,0.0,0.0,2.0,9.900990099009901,-10.0,1.0,7.553956834532371,-5.0,9.0,68.4878353408537,-39.6,0.0,0.0,3.0,11.214953271028055,-21.0,0.0,0.0,0.0,9.0,25.519821919733392,-58.5,1.0,6.436781609195401,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.61691357105635,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.48385333672048,-10.0,49,213.8306928972541,-245.0,1.0,5.135951661631419,-5.0,0.0,0.0,0.0,4.0,8.24902112092373,-36.0,14.0,80.68954394575627,-126.0,25.0,89.76662291403036,-229.0,0.0,0.0,0.0,1.0,11.392405063291099,-10.0,24,90.97157435184792,-240.0,0.0,0.0,0.0,1.0,4.83460559796438,-9.5,4.0,23.82678085847164,-40.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.8095,44,188.65862388927425,0.0,0.0,0.0,9,66.70583872647511,-3.6,8,71.46118583267435,3.2,4.0,30.13920692534869,0.0,0.0,3.0,5.1786299573910215,-6.0,7.0,99.40026018124495,0.0,0.0,0.0,18,107.748756358442,54.0,0.0,0.0,0.0,1.0,4.888888888888889,3.2,2.0,9.200578766503892,6.8,6.0,50.49565694296036,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,62.55156921538687,48.0,1.0,2.6634382566586,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.96902654867257,7.0,19,125.4095129763045,76.0,20,140.30450956843995,20.0,6.0,35.450447059106935,6.0,35,210.7445949640446,66.49999999999997,30,179.6981376436692,83.99999999999996,1.0,2.41935483870968,2.5,0.0,0.0,0.0,26,177.05338531338452,182.0,10.0,59.229712839013814,35.0,22,151.1861756600216,74.8,2.0,13.047563123899,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2137767220903,8.0,10,41.48367077259007,60.0,4.0,17.56097560975608,25.6,0.0,0.0,0.0,6.0,19.789568769269646,44.4,2,16.635876652633268,14.0,10.0,56.60140295712361,74.0,0.0,0.0,0.0,3.0,17.19714282559976,22.200000000000006,0.0,0.0,0.0,4.0,25.797143689886322,20.0,0.0,0.0,0.0,3.0,24.3923292324642,15.0,23,139.4654624136035,161.0,0.0,0.0,0.0,4.0,13.0088437972029,-8.0,5.0,14.074220876985633,-25.0,0.0,0.0,0.0,1.0,6.545454545454549,-5.0,0.0,0.0,0.0,3,19.22241114079832,-6.0,8.0,52.34680411634197,-16.0,23,106.04177932074283,-46.0,3.0,12.8134340797338,-6.0,7,31.340856384067248,-28.0,3.0,9.063052739094699,-12.0,2.0,10.81754958742369,-10.0,1.0,6.76923076923077,-5.0,1.0,3.5250463821892404,-4.4,0.0,0.0,2.0,15.732998885172801,-14.0,0.0,0.0,0.0,2.0,10.329889634110993,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.3921085080148,-14.4,5.0,23.279166743058077,-20.0,0.0,0.0,0.0,1.0,6.85279187817259,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.280179288800202,-25.0,25,126.25317163649315,-125.0,10.0,37.7315606076954,-50.0,0.0,0.0,0.0,1.0,9.615384615384619,-9.0,4.0,14.05906248197556,-36.0,16.0,42.27467335441408,-154.5,0.0,0.0,0.0,2.0,8.0338266384778,-20.0,18,80.78455858626187,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.8090833333333332,18,113.0812772229204,1.0,4.38871473354232,-0.1,1,5.71428571428571,-0.4,2,6.8310310660371885,0.8,1.0,6.806282722513091,0.0,0.0,0.0,0.0,0.0,1.0,6.30323679727428,1.0,1.23206261777069,3.4,16,76.92811846033345,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.74162679425837,-0.3,3.0,32.84541826669674,12.0,0.0,0.0,3,17.41617459166408,12.0,2.0,4.784688995215321,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.764227642276396,14.0,11,65.48082111284951,44.0,23,136.4258908798357,23.0,4.0,15.50387596899224,4.0,59,387.4330299154912,112.10000000000008,61,418.05390930008764,170.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,11,79.68284752401823,77.0,7.0,24.478014671457917,24.5,19,118.93778875074736,64.59999999999998,2.0,11.518324607329841,7.0,1.0,7.58226037195994,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,69.10025871701322,54.0,1.0,1.05540897097625,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1,8.59220092531395,7.0,9.0,75.00913432548381,66.6,1.0,4.09356725146199,8.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.68590065180557,30.0,2.0,4.5454545454545405,10.0,0.0,0.0,0.0,8,28.359831403426266,56.0,0.0,0.0,0.0,5.0,19.32466190971561,-10.0,2.0,14.146821834484038,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,34.338958881665945,-16.0,9.0,26.588907794461736,-18.0,5,25.676872186095213,-10.0,1.0,3.87596899224806,-2.0,7,31.07917189369965,-28.0,1.0,2.5,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.979209979209982,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.59244130656354,-26.0,2.0,3.41880341880342,-13.0,0.0,0.0,0.0,3.0,17.224880382775115,-22.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.333333333333302,-4.0,0.0,0.0,0.0,2.0,2.11640211640212,-16.0,8.0,47.058823529411754,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,41.073404818739185,-35.0,33,148.79550204905013,-165.0,0.0,0.0,0.0,3.0,17.224880382775115,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.26566405482069,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,11,34.29095945089822,-110.0,0.0,0.0,0.0,1.0,9.75395430579965,-9.5,0.0,0.0,0.0,1.0,2.61096605744125,-10.0,0.0,0.0,0.0
200809,1.8086666666666664,39,240.38947793122304,0.0,0.0,0.0,1,3.9583333333333304,-0.4,5,29.681576600995825,2.0,0.0,0.0,0.0,0.0,2.0,8.905256877997289,-4.0,0.0,0.0,0.0,0.0,0.0,29,158.27440368702602,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.36700336700337,3.4,2.0,16.01255886970172,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,27.20457390449471,20.0,3.0,15.78947368421052,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,299.81115597137807,188.0,63,369.84618274781207,63.0,0.0,0.0,0.0,67,351.5189745199317,127.30000000000014,57,307.50265527609895,159.60000000000005,0.0,0.0,0.0,0.0,0.0,0.0,47,236.67573098059097,329.0,7.0,43.229506244432926,24.5,16,121.20662234527052,54.39999999999999,4.0,25.45642188499331,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,95.07761834880341,84.0,1.0,4.4585987261146505,6.4,0.0,0.0,0.0,1.0,6.13496932515337,7.4,6,39.76010259759738,42.0,12.0,55.6327210194495,88.80000000000003,0.0,0.0,0.0,1.0,2.04081632653061,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,52.352693559197,77.0,2.0,7.916666666666661,20.0,5.0,15.853818795158382,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.906794397480589,-15.0,5,17.72822921321253,-10.0,11.0,58.43633203090517,-22.0,11,53.92760640669964,-22.0,3.0,17.968888419494423,-6.0,6,25.786340650866,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.06224549156486,-27.6,2.0,11.606837606837608,-10.0,33,182.09634816621255,-165.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0983606557377,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,66.25241909014646,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.137203166226922,-20.0,4.0,24.274406332453843,-40.0,0.0,0.0,0.0
