MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_23,tone_count_23,goldstein_23,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_73,tone_count_73,goldstein_73,event_count_80,tone_count_80,goldstein_80,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_180,tone_count_180,goldstein_180,event_count_190,tone_count_190,goldstein_190,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193
200801,1.73,9,61.930016966483976,1.0,4.60526315789474,-0.4,2.0,7.164983888292159,0.8,2.0,17.687345990947076,0.0,0.0,7,32.92768928403202,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.03877221324717,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.92285724971415,8.0,7.0,44.45358187134508,7.0,3,19.322644596869928,5.699999999999998,3,19.32264459686992,8.399999999999999,0.0,0.0,0.0,2.0,9.21052631578948,14.0,2.0,11.2,7.0,7,39.023292272549746,23.8,4.0,18.44532279314888,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.964426182975349,14.0,3.0,31.263087759375612,22.200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.43137254901961,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.26315789473684,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.80349344978166,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200802,1.7519999999999998,25,91.37376290584216,3.0,9.675799237821598,-1.2000000000000002,8.0,30.402862753723017,3.2,0.0,0.0,0.0,0.0,12,49.77403561529063,36.0,2.0,8.471779829968598,6.8,0.0,0.0,0.0,1.0,5.63002680965147,4.0,1.0,5.5,5.2,0.0,0.0,0.0,1.0,2.7522935779816495,4.0,2.0,12.96660117878192,2.0,19,138.19397132961078,36.1,21,144.3486427447363,58.79999999999998,0.0,0.0,0.0,8.0,38.710150357567564,56.0,1.0,5.63002680965147,3.5,12,76.58729506626484,40.79999999999999,0.0,0.0,0.0,8.0,30.312995274799576,48.0,0.0,0.0,0.0,3.0,11.80931007836935,21.0,5.0,31.847088940116873,37.0,8.0,30.63861469782176,59.2,0.0,0.0,0.0,3.0,18.01675977653631,15.0,2.0,11.0,14.0,0.0,0.0,0.0,1.0,2.6974951830443197,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.66773162939298,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.45771144278608,-8.0,1.0,3.7037037037037,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,56.56100834603211,-140.0,0.0,0.0,0.0,1.0,2.6974951830443197,-10.0
200803,1.774,12,54.16244734159796,0.0,0.0,0.0,6.0,18.95430050912828,2.4,1.0,5.1980198019802,2.0,18.55072463768116,3,20.71173161365232,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.01035995160314,12.0,0.0,0.0,0.0,8,30.417171752978877,15.2,7,27.985927524043504,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,47.13994316430154,20.4,11.0,79.39120932767507,88.0,1.0,8.883553421368552,6.0,4.0,19.08445991081853,25.6,2.0,16.92354747775416,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.291666666666661,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.35443037974684,-2.0,2.0,14.6416157452997,-10.0,2.0,17.34513274336284,-4.0,1.0,3.1209415584415603,-2.0,2.0,8.37056709889079,-4.0,0.0,0.0,0.0,1.0,5.9690493736182795,-4.0,8.0,24.570971443802215,-35.2,0.0,0.0,0.0,1.0,7.77957860615883,-4.0,3.0,10.62992125984251,-15.0,2.0,9.18266664509972,-10.0,0.0,0.0,0.0,1.0,2.10084033613445,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.796,11,74.7243664008883,1.0,4.96,-0.4,1.0,5.00801282051282,0.4,4.0,24.938400886151967,0.0,0.0,4,32.26242635302128,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,76.63730371505159,24.0,29.0,144.59415642759745,29.0,16,75.35039143426869,30.39999999999999,16,90.64513984913008,44.79999999999999,0.0,0.0,0.0,14.0,59.8269017686534,98.0,2.0,8.07852783659235,7.0,9,42.95506725964397,30.599999999999994,8.0,56.5981371438494,64.0,12.0,83.66307036147155,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.96,7.4,2.0,16.34782608695652,14.8,3.0,19.792851830933067,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,10.0,6.0,42.07888761422351,-12.0,0.0,0.0,0.0,1.0,7.94425087108014,-2.0,1.0,1.58730158730159,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.96,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.83582749207016,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
200805,1.818,4,22.80145958481387,4.0,38.89611000812747,-1.6,4.0,28.7594677738415,1.6,2.0,7.23684210526316,0.0,0.0,3,10.880311291523553,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.80099502487564,16.0,1.0,12.9175946547884,5.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.196572490194384,5.0,29,152.11783477101412,55.09999999999998,31,150.7360789599507,86.79999999999997,0.0,0.0,0.0,3.0,15.0,21.0,1.0,7.9787234042553195,3.5,4,22.48145173752252,13.6,4.0,39.80099502487564,32.0,0.0,0.0,0.0,1.0,5.05050505050505,6.4,0.0,0.0,0.0,2.0,13.722741978812618,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.79816513761468,5.0,13.0,73.27291979768188,91.0,2.0,4.0983606557377,20.0,2.0,18.71985675253934,-4.0,4.0,41.956009426551425,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5612535612535603,-2.0,0.0,0.0,0.0,1.0,9.108159392789368,-4.0,1.0,5.82338902147971,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.1413612565445,-18.0,2.0,12.311557788944722,-20.0,0.0,0.0,0.0,1.0,2.84090909090909,-10.0
200806,1.84,7,50.112119350222066,1.0,5.49738219895288,-0.4,0.0,0.0,0.0,2.0,8.069164265129679,0.0,0.0,4,32.18318207577481,12.0,1.0,5.3763440860215095,3.4,0.0,0.0,0.0,3.0,23.15681259663743,12.0,0.0,0.0,0.0,2.0,15.21110468478889,10.4,7.0,26.265116664753556,28.0,0.0,0.0,0.0,10,82.29101586225094,19.0,13,94.02444348968609,36.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.1471085896287,7.0,6,45.83941332601295,20.4,5.0,59.181898714208295,40.0,1.0,1.6666666666666698,6.0,0.0,0.0,0.0,4.0,37.676557794224074,28.0,1.0,14.382402707275801,7.4,1.0,8.837575926183519,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.77055909966559,14.0,0.0,0.0,0.0,2.0,11.31685888682316,-4.0,1.0,5.759162303664921,-5.0,1.0,8.93617021276596,-2.0,1.0,5.96026490066225,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.93617021276596,-4.0,0.0,0.0,0.0,2.0,12.15450574988981,-13.0,1.0,4.98614958448753,-4.0,0.0,0.0,0.0,3.0,18.652138821630334,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.8619999999999999,14,103.07782231731942,3.0,16.835566405947972,-1.2000000000000002,1.0,3.43152645673654,0.4,4.0,43.3737973765973,0.0,0.0,16,102.03025213156953,48.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,76.94793125081527,36.0,0.0,0.0,0.0,4.0,35.42041270656735,20.8,4.0,21.89790407612188,16.0,16.0,127.37560483548435,16.0,24,145.88040588144864,45.59999999999998,24,127.52438441820117,67.19999999999999,0.0,0.0,0.0,11.0,65.78657031252621,77.0,1.0,9.55882352941176,3.5,6,41.15997035413304,20.4,5.0,51.5859030837004,40.0,6.0,24.932971847119003,36.0,2.0,8.73679321955184,12.8,5.0,33.37966662074667,35.0,10.0,87.22156549460182,74.0,2.0,8.26009608726684,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.140274451923275,-26.0,0.0,0.0,0.0,2.0,12.581443235601453,-4.0,0.0,0.0,0.0,3.0,7.572852804754744,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.67924528301887,-4.4,0.0,0.0,0.0,6.0,27.45942722558753,-24.0,1.0,4.24403183023873,-5.0,10.0,70.9710253133054,-50.0,0.0,0.0,0.0,2.0,7.92079207920792,-20.0,2.0,21.366698748797,-19.0,0.0,0.0,0.0
200808,1.8840000000000001,15,97.12734277189492,0.0,0.0,0.0,9.0,48.29069359521322,3.6,2.0,8.16754374705857,0.0,0.0,5,51.33096633096634,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.97799174690509,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.34625322997416,2.0,11,85.58642576613181,20.9,8,68.4874448851119,22.4,0.0,0.0,0.0,1.0,5.44444444444444,7.0,0.0,0.0,0.0,10,54.37199791017943,33.99999999999999,2.0,21.212121212121197,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.7142857142857,7.0,2.0,15.311986863710988,14.8,2.0,19.393939393939398,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.66666666666667,7.0,0.0,0.0,0.0,1.0,3.96341463414634,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.291129303577433,-8.0,3.0,12.780847581295788,-13.2,1.0,8.73287671232877,-6.5,0.0,0.0,0.0,1.0,9.08163719911915,-5.0,4.0,32.6352653598459,-20.0,0.0,0.0,0.0,3.0,15.69291415482142,-30.0,0.0,0.0,0.0,2.0,16.19433198380566,-20.0
200809,1.906,4,16.42337924812309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11.174785100286538,9.0,0.0,0.0,0.0,4.0,22.22222222222224,16.0,3.0,23.72780426316529,12.0,4.0,41.2429378531074,20.8,2.0,8.73781658534199,10.4,12.0,60.502909255116556,48.0,6.0,28.8,6.0,3,16.32602710752824,5.699999999999998,5,29.90178468328582,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,19.15033364393584,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.824990724709412,14.0,5.0,43.11928174965942,37.0,0.0,0.0,0.0,1.0,4.17391304347826,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0727544537187,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.899713467048722,-8.0,1.0,4.34782608695652,-2.0,1.0,5.37190082644628,-2.0,1.0,4.03587443946188,-4.0,0.0,0.0,0.0,1.0,4.76190476190476,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.22222222222224,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.9280000000000002,19,102.36577785729295,5.0,27.22141265067505,-2.0,2.0,13.84827400759638,0.8,0.0,0.0,0.0,0.0,3,14.50985533849046,9.0,0.0,0.0,0.0,3.0,9.52380952380951,12.0,8.0,43.7587205471957,32.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,42.84456929493248,36.0,13.0,84.18033647857574,13.0,16,82.89623542139655,30.39999999999999,18,102.67840298630051,50.399999999999984,0.0,0.0,0.0,8.0,46.899189662770645,56.0,3.0,16.9156602092981,10.5,5,34.443373841939284,17.0,7.0,40.012438055486925,56.0,8.0,54.423731121659145,48.0,0.0,0.0,0.0,3.0,18.05610075973588,21.0,1.0,9.79591836734694,7.4,0.0,0.0,0.0,3.0,15.287587801833858,15.0,4.0,23.18444486547936,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8985507246376803,-2.0,0.0,0.0,0.0,1.0,4.20054200542005,-2.0,2.0,11.124546553808939,-4.0,0.0,0.0,0.0,1.0,9.5292766934558,-2.0,1.0,7.92079207920792,-4.0,1.0,4.1545189504373194,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.054712807302042,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.650406504065041,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
