MonthYear,GPI,event_count_10,tone_count_10,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_20,tone_count_20,goldstein_20,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_54,tone_count_54,goldstein_54,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_80,tone_count_80,goldstein_80,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_130,tone_count_130,goldstein_130,event_count_141,tone_count_141,goldstein_141,event_count_160,tone_count_160,goldstein_160,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_180,goldstein_180,event_count_190,tone_count_190,goldstein_190,event_count_193,tone_count_193,goldstein_193
200801,2.2,21,136.88930636014365,3.0,18.68460610964359,-1.2000000000000002,4.0,30.57934607780395,1.6,3.0,18.666666666666657,1.0,6.65584415584416,-2.0,0.0,0.0,12,71.63980098984433,36.0,0.0,0.0,0.0,3.0,22.92358803986712,12.0,1.0,5.9322033898305095,5.2,0.0,0.0,0.0,11,49.11148051368859,44.0,13.0,66.2580750525829,13.0,11,56.334433202275456,20.9,8,45.09263045857934,22.4,4,24.19236348322492,28.0,5.0,34.23146698366372,17.5,15.0,108.35787563753273,50.99999999999999,4.0,23.07615480649189,24.0,11.0,100.79692115177349,88.0,5.0,22.78229878289532,30.0,2.0,0.8856088560885601,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.081081081081081,5.0,7.0,39.787993192378615,35.0,2.0,8.25046716149728,14.0,1.0,4.790419161676651,-2.0,1.0,3.87931034482759,-5.0,0.0,0.0,0.0,1.0,7.39910313901345,-2.0,1.0,3.6697247706422003,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.13833992094862,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,0.0,4.0,14.484611396521649,-40.0,1.0,2.68817204301075,-10.0
200802,2.1958333333333333,16,102.18656228014078,6.0,34.77694235588972,-2.4,10.0,61.770485130291675,4.0,4.0,21.709313197667054,0.0,0.0,0.0,3.0,14.285714285714278,7,36.75663284896683,21.0,1.0,6.66666666666667,4.0,9.0,62.82791638124549,36.0,0.0,0.0,0.0,0.0,0.0,0.0,13,70.95514214600796,52.0,15.0,87.804941767272,15.0,22,118.86091037670673,41.799999999999976,14,77.11630964127981,39.2,22,147.03826063963655,154.0,2.0,11.571235566945699,7.0,24.0,166.68454148034425,81.60000000000002,5.0,27.74043619983522,30.0,12.0,75.96229346052401,96.0,9.0,50.7352234572587,54.0,2.0,17.435897435897438,12.8,2.0,16.5631469979296,14.0,2.0,14.33079472533671,14.8,3.0,17.16143877507377,15.0,2.0,11.96261113140908,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.411426088845438,-10.0,3.0,20.680417380172948,-6.0,3.0,15.99171519170495,-6.0,3.0,15.124179605053921,-6.0,1.0,4.43786982248521,-2.0,9.0,53.63165387182416,-36.0,5.0,29.121508777301234,-22.0,6.0,22.70971425954999,-39.0,1.0,7.142857142857139,-4.0,0.0,0.0,0.0,1.0,4.47470817120623,-5.0,0.0,0.0,3.0,18.11917625871113,-30.0,0.0,0.0,0.0
200803,2.191666666666667,30,199.8795334404336,5.0,32.64187220797869,-2.0,2.0,14.2272543105389,0.8,0.0,0.0,3.0,16.10286599260136,-6.0,0.0,0.0,20,106.29489765669771,60.0,0.0,0.0,0.0,6.0,37.68991632412862,24.0,4.0,22.784175920714898,20.8,0.0,0.0,0.0,11,55.397531911483114,44.0,11.0,80.12256418489794,11.0,16,72.66239754799898,30.399999999999995,14,74.7076469364528,39.2,13,81.28737760747345,91.0,5.0,26.47853153895452,17.5,10.0,80.73629828688024,33.99999999999999,0.0,0.0,0.0,5.0,35.42272210286871,40.0,1.0,7.51708428246014,6.0,0.0,0.0,0.0,1.0,8.64661654135338,7.0,0.0,0.0,0.0,2.0,21.284965034965037,10.0,1.0,4.65631929046563,5.0,0.0,0.0,0.0,5.0,25.3657300260845,-10.0,6.0,33.59927967268723,-30.0,1.0,4.65631929046563,-2.0,3.0,18.579723526449236,-6.0,8.0,36.0682998958325,-16.0,0.0,0.0,0.0,3.0,21.488339178561393,-12.0,5.0,28.396009125578185,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.664488017429191,-5.0,4.0,13.68555214434824,-20.0,0.0,0.0,5.0,19.07142061646546,-50.0,0.0,0.0,0.0
200804,2.1875,34,188.51072029348074,6.0,45.74488777000413,-2.4,13.0,80.07381766406813,5.2,5.0,31.102805838746228,0.0,0.0,0.0,0.0,0.0,21,151.96944786698853,63.0,1.0,10.5263157894737,4.0,13.0,77.0468492934356,52.0,0.0,0.0,0.0,0.0,0.0,0.0,9,57.65336963992026,36.0,11.0,92.17905848413321,11.0,7,37.37194131123085,13.3,6,35.88085476870015,16.8,13,106.70352906467629,91.0,2.0,20.78645235361655,7.0,28.0,214.0492490525812,95.20000000000003,4.0,29.650335038774422,24.0,15.0,100.93123318244619,120.0,2.0,13.33548425823104,12.0,3.0,17.93639339192288,19.200000000000006,0.0,0.0,0.0,1.0,5.056179775280901,7.4,3.0,24.580408366888786,15.0,2.0,19.70233412011539,10.0,1.0,6.930693069306929,7.0,8.0,42.39736927150541,-16.0,0.0,0.0,0.0,17.0,124.54386324216023,-34.0,8.0,48.36525273624535,-16.0,7.0,29.06542105773616,-14.0,0.0,0.0,0.0,3.0,20.62293012993832,-12.0,7.0,41.62931990959952,-30.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2734375,-5.0,3.0,9.852887458521261,-15.0,2.0,-18.0,15.0,71.41246808422576,-150.0,2.0,8.1081081081081,-20.0
200805,2.1833333333333336,20,135.78598049456664,3.0,20.30730889366222,-1.2000000000000002,4.0,24.0181205830118,1.6,0.0,0.0,0.0,0.0,0.0,5.0,36.011206826597444,5,35.195049704409854,15.0,0.0,0.0,0.0,3.0,17.66767192045358,12.0,0.0,0.0,0.0,2.0,11.5496855345912,10.4,7,21.000741238093127,28.0,6.0,33.17093773837657,6.0,11,57.91635547549578,20.9,11,54.12065767177045,30.800000000000004,3,22.23608575099752,21.0,2.0,8.0,7.0,10.0,92.68140978566623,33.99999999999999,0.0,0.0,0.0,8.0,64.87583824890241,64.0,1.0,5.283018867924531,6.0,0.0,0.0,0.0,3.0,17.28935177211039,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1276595744680904,7.0,6.0,30.23763975488113,-12.0,4.0,32.3651997627152,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.34820352061732,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.735845107273676,-16.0,1.0,4.83736447039199,-5.0,1.0,2.8735632183908,-5.0,0.0,0.0,1.0,0.0,-10.0,0.0,0.0,0.0
200806,2.1791666666666667,14,84.68744209898793,0.0,0.0,0.0,3.0,18.46792069140823,1.2000000000000002,0.0,0.0,1.0,7.92880258899676,-2.0,0.0,0.0,6,35.05836964882822,18.0,0.0,0.0,0.0,5.0,34.116664627218725,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11.70018281535648,8.0,18.0,134.0250472880424,18.0,2,11.36805285658764,3.8,1,5.7228915662650595,2.8,2,11.9496855345912,14.0,1.0,7.84982935153584,3.5,8.0,76.2292968708677,27.2,1.0,11.0169491525424,6.0,0.0,0.0,0.0,1.0,4.89130434782609,6.0,0.0,0.0,0.0,4.0,24.42748091603052,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.09807973945904,-15.0,1.0,3.83480825958702,-2.0,1.0,7.47508305647841,-2.0,4.0,19.39160491778911,-8.0,0.0,0.0,0.0,2.0,15.34545342684878,-8.0,4.0,25.619195046439618,-17.6,2.0,11.722187303582661,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.24034868273427,-10.0,3.0,-27.0,1.0,4.76190476190476,-10.0,0.0,0.0,0.0
200807,2.175,19,132.48145806451893,4.0,27.974249664514442,-1.6,3.0,15.1261012048439,1.2000000000000002,4.0,26.500570221840015,1.0,6.61896243291592,-2.0,1.0,6.03015075376884,19,103.29957014296312,57.0,0.0,0.0,0.0,1.0,5.44554455445545,4.0,5.0,39.819011338873075,26.0,0.0,0.0,0.0,6,36.924137345973584,24.0,12.0,72.1118138818637,12.0,13,81.52620548298549,24.7,12,84.91821744092755,33.6,18,137.1607758785064,126.0,1.0,5.150214592274679,3.5,5.0,35.808396455495796,17.0,1.0,12.403100775193801,6.0,5.0,36.238808125541546,40.0,2.0,24.806201550387602,12.0,0.0,0.0,0.0,4.0,21.34497381269753,28.0,0.0,0.0,0.0,1.0,7.692307692307691,5.0,1.0,5.29680365296804,5.0,2.0,15.13161353310051,14.0,1.0,6.61896243291592,-2.0,3.0,16.35689247574794,-15.0,4.0,25.16509433962265,-8.0,1.0,5.07717118537428,-2.0,11.0,50.983609832818175,-22.0,0.0,0.0,0.0,8.0,48.0443846287031,-32.0,1.0,7.73480662983425,-4.4,1.0,11.4141414141414,-6.5,1.0,4.43037974683544,-4.0,1.0,4.98180800447803,-5.0,18.0,71.74002318327324,-90.0,2.0,-18.0,1.0,4.54115421002838,-10.0,2.0,9.91218826835266,-20.0
200808,2.1708333333333334,28,147.9180069787475,5.0,30.29101664399416,-2.0,11.0,67.02092659470273,4.4,4.0,21.329880237159358,5.0,18.01793616430031,-10.0,0.0,0.0,16,91.77124501916657,48.0,1.0,4.9180327868852505,4.0,5.0,31.046470451309858,20.0,1.0,6.54457219356617,5.2,1.0,5.726872246696041,5.2,6,57.44160795820879,24.0,13.0,106.78702493894323,13.0,14,68.89666632296397,26.599999999999994,15,78.32903380874579,41.99999999999999,10,35.23133068169729,70.0,0.0,0.0,0.0,7.0,45.22644529850858,23.8,2.0,17.47333713262232,12.0,3.0,17.04938792739552,24.0,0.0,0.0,0.0,2.0,5.26315789473684,12.8,2.0,21.10485384821666,14.0,0.0,0.0,0.0,3.0,6.82564917859035,15.0,0.0,0.0,0.0,1.0,3.8834951456310693,7.0,4.0,17.099635162997448,-8.0,4.0,23.924449108079763,-20.0,1.0,4.861111111111111,-2.0,5.0,25.480606526705532,-10.0,1.0,9.54415954415954,-2.0,0.0,0.0,0.0,7.0,34.36595716639755,-28.0,3.0,10.827662428838561,-13.2,0.0,0.0,0.0,2.0,5.115460287874081,-8.0,0.0,0.0,0.0,33.0,74.73534932397446,-165.0,1.0,-9.0,4.0,16.07719275438437,-40.0,0.0,0.0,0.0
200809,2.1666666666666665,14,115.34943530153966,2.0,11.30688868430533,-0.8,14.0,98.4948080775485,5.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,35.39443534471534,15.0,0.0,0.0,0.0,9.0,76.06761520024018,36.0,1.0,12.5,5.2,0.0,0.0,0.0,18,95.88643382592208,72.0,12.0,90.04810055633999,12.0,11,53.46856266491658,20.899999999999995,6,34.31800552822874,16.8,8,43.76568839660945,56.0,1.0,10.090640029596699,3.5,10.0,77.78149920774935,33.99999999999999,6.0,55.28384433312669,36.0,5.0,24.0798601494282,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.99953966235286,35.0,1.0,6.88360450563204,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3189368770764105,7.0,0.0,0.0,0.0,1.0,7.6335877862595405,-5.0,0.0,0.0,0.0,1.0,6.50684931506849,-2.0,0.0,0.0,0.0,2.0,10.11425425012045,-4.0,3.0,21.81017096001653,-12.0,3.0,20.698298069164878,-13.2,0.0,0.0,0.0,2.0,17.86941580756014,-8.0,0.0,0.0,0.0,3.0,10.98708010335918,-15.0,0.0,0.0,6.0,33.66767983789261,-60.0,0.0,0.0,0.0
200810,2.1625,50,305.39975383868585,12.0,82.13212275142077,-4.8,22.0,137.60596764932734,8.800000000000002,9.0,53.0826373533424,1.0,5.93667546174142,-2.0,1.0,8.633093525179861,29,168.8989713679016,87.0,7.0,40.614139909949934,28.0,13.0,110.89393965201543,52.0,0.0,0.0,0.0,1.0,3.44827586206897,5.2,26,153.10305397480283,104.0,27.0,170.94255231721058,27.0,33,194.1145987371241,62.69999999999998,18,94.7848639192633,50.39999999999999,18,99.59701358887541,126.0,6.0,55.08370708865762,21.0,50.0,324.1537026301918,170.00000000000009,43.0,269.709540574318,258.0,9.0,68.72284452675079,72.0,5.0,28.02781705462717,30.0,1.0,7.28218465539662,6.4,8.0,60.346747626999324,56.0,1.0,5.41871921182266,7.4,2.0,11.004828635910348,10.0,0.0,0.0,0.0,1.0,8.208955223880599,7.0,6.0,25.79200098959332,-12.0,6.0,36.97230241514992,-30.0,14.0,84.49391698040428,-28.0,17.0,118.4974052193066,-34.0,11.0,44.980210623290475,-22.0,0.0,0.0,0.0,15.0,100.42993666555306,-60.0,13.0,77.32343232214521,-57.19999999999999,5.0,21.805033751529397,-32.5,10.0,53.730755819091826,-40.0,5.0,17.527238807178463,-25.0,5.0,25.35734127384563,-25.0,3.0,-27.0,20.0,68.17063947550632,-200.0,2.0,11.172135750203472,-20.0
