MonthYear,GPI,event_count_10,tone_count_10,event_count_11,tone_count_11,goldstein_11,event_count_12,tone_count_12,goldstein_12,event_count_13,tone_count_13,goldstein_13,event_count_14,tone_count_14,event_count_15,tone_count_15,event_count_16,tone_count_16,goldstein_16,event_count_17,tone_count_17,event_count_18,tone_count_18,goldstein_18,event_count_20,tone_count_20,goldstein_20,event_count_21,tone_count_21,goldstein_21,event_count_22,tone_count_22,goldstein_22,event_count_23,tone_count_23,goldstein_23,event_count_25,tone_count_25,goldstein_25,event_count_26,tone_count_26,goldstein_26,event_count_30,tone_count_30,goldstein_30,event_count_31,tone_count_31,goldstein_31,event_count_33,tone_count_33,goldstein_33,event_count_35,tone_count_35,goldstein_35,event_count_36,tone_count_36,goldstein_36,event_count_40,tone_count_40,goldstein_40,event_count_41,tone_count_41,goldstein_41,event_count_42,tone_count_42,goldstein_42,event_count_43,tone_count_43,goldstein_43,event_count_45,tone_count_45,goldstein_45,event_count_46,tone_count_46,goldstein_46,event_count_50,tone_count_50,goldstein_50,event_count_51,tone_count_51,goldstein_51,event_count_52,tone_count_52,goldstein_52,event_count_55,tone_count_55,goldstein_55,event_count_57,tone_count_57,goldstein_57,event_count_60,tone_count_60,goldstein_60,event_count_61,tone_count_61,goldstein_61,event_count_62,tone_count_62,goldstein_62,event_count_70,tone_count_70,goldstein_70,event_count_71,tone_count_71,goldstein_71,event_count_72,tone_count_72,goldstein_72,event_count_73,tone_count_73,goldstein_73,event_count_74,tone_count_74,goldstein_74,event_count_75,tone_count_75,goldstein_75,event_count_80,tone_count_80,goldstein_80,event_count_81,tone_count_81,goldstein_81,event_count_83,tone_count_83,goldstein_83,event_count_84,tone_count_84,goldstein_84,event_count_86,tone_count_86,goldstein_86,event_count_87,tone_count_87,goldstein_87,event_count_90,tone_count_90,goldstein_90,event_count_100,tone_count_100,goldstein_100,event_count_110,tone_count_110,goldstein_110,event_count_111,tone_count_111,goldstein_111,event_count_112,tone_count_112,goldstein_112,event_count_114,tone_count_114,goldstein_114,event_count_120,tone_count_120,goldstein_120,event_count_124,tone_count_124,goldstein_124,event_count_125,tone_count_125,goldstein_125,event_count_128,tone_count_128,goldstein_128,event_count_130,tone_count_130,goldstein_130,event_count_138,tone_count_138,goldstein_138,event_count_141,tone_count_141,goldstein_141,event_count_145,tone_count_145,goldstein_145,event_count_150,tone_count_150,goldstein_150,event_count_154,tone_count_154,goldstein_154,event_count_160,tone_count_160,goldstein_160,event_count_161,tone_count_161,goldstein_161,event_count_163,goldstein_163,event_count_164,tone_count_164,goldstein_164,event_count_171,tone_count_171,goldstein_171,event_count_172,tone_count_172,goldstein_172,event_count_173,tone_count_173,goldstein_173,event_count_174,tone_count_174,goldstein_174,event_count_180,tone_count_180,goldstein_180,event_count_181,tone_count_181,goldstein_181,event_count_182,tone_count_182,goldstein_182,event_count_183,goldstein_183,event_count_186,tone_count_186,goldstein_186,event_count_190,tone_count_190,goldstein_190,event_count_191,tone_count_191,goldstein_191,event_count_192,tone_count_192,goldstein_192,event_count_193,tone_count_193,goldstein_193,event_count_194,tone_count_194,goldstein_194,event_count_195,tone_count_195,goldstein_195
201102,2.7518333333333334,102,489.2620765559921,7.0,27.01478370302586,-0.7,20,87.92517491514202,-8.000000000000002,26,148.14252826180726,10.400000000000006,23,92.68765940444399,10.0,36.33235136754747,14.0,39.75789073806776,-28.0,3.0,16.7511802640465,5.0,20.927932151098112,17.0,101,550.4155336577077,303.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.46520146520147,3.4,8.0,30.91666542452358,-2.4,1.0,6.875,4.0,9,43.311878142226064,36.0,2.0,10.435987939238911,10.4,4.0,17.596217992544734,21.6,0.0,0.0,0.0,27,138.26396063233787,108.0,99,507.8213090242428,99.0,3.0,14.186093477062421,3.0,80,425.3603304572808,152.00000000000014,63,343.5535427012913,176.40000000000006,1.0,5.6672760511883,5.0,97,535.1030221311403,679.0,6.0,53.311415431465356,21.0,84,585.4736295845456,285.60000000000014,2.0,10.624546439085599,7.0,4.0,19.319985981232925,28.0,13.0,70.22966559228847,104.0,31,170.85390589325456,186.0,3.0,17.134132201372832,19.200000000000006,11.0,70.10714591044713,81.4,16,107.06032847285204,112.0,8,62.13645288831675,59.2,1.0,6.2585034013605405,8.3,3.0,11.03920822230681,22.200000000000006,0.0,0.0,0.0,1.0,6.2585034013605405,7.0,8,32.631984130282476,40.0,1.0,3.54223433242507,5.0,3.0,20.161960703043192,15.0,39,224.46722970264287,273.0,0.0,0.0,0.0,2.0,8.740915501434259,19.0,11,63.230400104686574,-22.0,11,58.394893405248034,-55.0,20,93.15791677745091,-40.0,19.0,66.75750699324377,-38.0,51,181.84966382505417,-102.0,3.0,14.60446039724152,-6.0,21,106.26886506273752,-84.0,1.0,3.6211699164345403,-4.0,2.0,9.92208687926681,-10.0,2.0,5.5,-10.0,13,38.139866015712364,-57.19999999999999,5.0,16.492459926831632,-35.0,4.0,15.072641375390749,-26.0,1.0,3.8383838383838396,-7.5,0.0,0.0,0.0,3.0,17.068508993517362,-21.6,6.0,31.0852609660461,-24.0,0.0,0.0,0.0,3.0,-24.0,0.0,0.0,0.0,3.0,11.632270865234537,-27.6,27,115.99625118799669,-135.0,110,395.59917970016073,-550.0,0.0,0.0,0.0,30.0,100.05862251087964,-270.0,1.0,1.4925373134328401,-9.0,6.0,17.863392876885708,-54.0,0.0,0.0,2.0,8.67652932681968,-20.0,76,316.976080044238,-760.0,1.0,3.4210526315789505,-9.5,9.0,37.487353002202724,-85.5,37.0,113.86458873983314,-370.0,0.0,0.0,0.0,0.0,0.0,0.0
201103,2.7456666666666667,146,704.2106672502333,4.0,23.509070581590983,-0.4,19,90.88267900688031,-7.600000000000002,40,174.67767678807016,16.000000000000007,7,27.76305379248848,3.0,8.42984563318697,12.0,50.93943927646404,-24.0,0.0,0.0,0.0,0.0,0.0,117,638.7218244838217,351.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.13196176108069,17.0,0.0,0.0,0.0,6.0,23.543214240765764,24.0,24,150.5318802873869,96.0,2.0,15.5511908905574,10.4,2.0,28.03738317757,10.4,1.0,1.9867549668874198,7.0,66,363.87065416062273,264.0,108,582.6330627395687,108.0,2.0,2.58620689655172,2.0,141,737.6511281678204,267.9000000000002,116,638.1906655228703,324.8000000000005,4.0,16.48730579765064,20.0,87,422.0345227220411,609.0,6.0,27.865382629562212,21.0,87,592.8654189219471,295.80000000000007,0.0,0.0,0.0,1.0,2.710027100271,7.0,12.0,89.66497949124408,96.0,24,141.64442917254027,144.0,0.0,0.0,0.0,4.0,18.81838074398248,29.6,20,130.41662443998723,140.0,10,58.120887170580794,74.0,4.0,16.18039453270988,33.2,12.0,63.409534062433565,88.80000000000003,1.0,4.47928331466965,8.5,1.0,4.933586337760911,7.0,23,120.95069337595896,115.0,1.0,5.05548705302096,5.0,0.0,0.0,0.0,25,119.17259428147995,175.0,0.0,0.0,0.0,7.0,30.212035788699602,66.0,39,164.34325974359032,-78.0,29,137.18806235691486,-145.0,27,137.4527923291945,-54.0,28.0,161.5609918720376,-56.0,46,191.75775891567883,-92.0,1.0,6.00858369098712,-2.0,28,141.38768393794936,-112.0,1.0,1.55440414507772,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,23,116.42624135201392,-101.20000000000002,3.0,11.949387798107278,-21.0,5.0,24.23691111866006,-32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.08336950294276,-4.0,7.0,36.88009097803239,-28.0,1.0,-8.0,13.0,82.5893786883595,-91.0,16.0,61.498987151375225,-147.2,13,74.43173756925448,-65.0,56,168.40457630102983,-280.0,4.0,14.934068432420151,-20.0,14.0,44.09303970210053,-126.0,1.0,2.85714285714286,-9.0,17.0,85.41606472529574,-154.0,0.0,0.0,0.0,0.0,0.0,78,370.4757434518982,-780.0,1.0,1.29310344827586,-9.5,8.0,28.10461497924997,-76.0,16.0,90.94807315091907,-160.0,0.0,0.0,0.0,2.0,6.6826730692276906,-20.0
201104,2.7395,131,701.2392561797296,0.0,0.0,0.0,33,183.8728761265752,-13.200000000000005,30,198.79558175578015,12.000000000000005,13,63.87936772818832,14.0,46.011923364841756,9.0,25.43503661473559,-18.0,0.0,0.0,1.0,4.111405835543771,3.4,89,517.6192408060663,267.0,0.0,0.0,0.0,4.0,26.8177680171596,12.8,2.0,11.59613319011816,6.8,2.0,6.4612039317491,-0.6,7.0,25.025866222390928,28.0,33,209.1535100996539,132.0,4.0,19.96430772375597,20.8,3.0,26.45145867973153,16.4,6.0,33.0275229357798,42.0,56,311.35670352921414,224.0,105,619.4633245318342,105.0,4.0,17.56111053486844,4.0,118,705.739973257724,224.2000000000004,106,624.8868228135162,296.80000000000024,0.0,0.0,0.0,26,208.38776971688142,182.0,4.0,21.016222470462843,14.0,83,530.9050790990862,282.2000000000001,0.0,0.0,0.0,6.0,36.49179534294989,42.0,20.0,102.0050761393968,160.0,35,206.7180098527105,210.0,4.0,21.50974273532054,25.6,15.0,115.7172201325231,111.00000000000004,18,114.82182982983538,126.0,10,64.59948626015455,74.0,3.0,11.14883831646837,24.9,8.0,41.55568850514586,59.2,0.0,0.0,0.0,0.0,0.0,0.0,22,98.2143984635887,110.0,0.0,0.0,0.0,4.0,22.155641136442426,20.0,23,149.45257501396523,161.0,0.0,0.0,0.0,11.0,74.37792804523531,110.0,19,106.49209892438728,-38.0,21,112.17860214033749,-105.0,38,236.4549428960363,-76.0,15.0,76.3499762688552,-30.0,46,180.83702173480762,-92.0,12.0,47.44518034380618,-24.0,35,196.03460921869583,-140.0,1.0,3.16559069622419,-4.0,2.0,11.682892906815018,-10.0,3.0,18.07077162403057,-15.0,34,225.89435144771457,-149.60000000000005,8.0,27.62225669818296,-56.0,6.0,35.86993252087336,-39.0,2.0,8.740760954913721,-15.0,0.0,0.0,0.0,1.0,4.0515653775322304,-7.2,4.0,12.467051953099608,-16.0,2.0,12.97366730892742,-8.0,21.0,-168.0,15.0,96.44518193843105,-105.0,12.0,66.06525315711625,-110.40000000000002,24,112.81107408099386,-120.0,81,255.7128651773771,-405.0,1.0,10.686274509803901,-5.0,19.0,28.813195696097733,-171.0,4.0,16.457814452670508,-36.0,3.0,14.50437179173975,-27.0,0.0,0.0,1.0,7.459677419354839,-10.0,86,351.14457291144447,-860.0,0.0,0.0,0.0,17.0,88.07322669272644,-161.5,21.0,81.1084624628873,-210.0,0.0,0.0,0.0,2.0,10.46085388952243,-20.0
201105,2.7333333333333334,89,463.7060440970686,0.0,0.0,0.0,28,128.74117303203937,-11.200000000000005,23,134.12082562705885,9.200000000000003,10,85.8551747894913,9.0,60.80427418018086,4.0,12.878869104487778,-8.0,3.0,22.6293019021904,0.0,0.0,0.0,58,342.21487063350094,174.0,0.0,0.0,0.0,1.0,5.39374325782093,3.2,5.0,24.03827939550199,17.0,0.0,0.0,0.0,4.0,29.62159551975744,16.0,28,155.9157667857016,112.0,5.0,17.44777498819693,26.0,9.0,43.236215278581206,46.8,1.0,10.3926096997691,7.0,39,192.1440021201306,156.0,57,336.222986282652,57.0,0.0,0.0,0.0,85,433.98569254337195,161.50000000000014,84,428.8476188930497,235.20000000000027,3.0,18.97233201581028,15.0,18,115.53075078225544,126.0,14.0,93.33579990774784,49.0,95,681.2997500706064,322.99999999999983,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.89763779527558,16.0,21,156.43247406115177,126.0,13.0,69.46504764487861,83.2,7.0,47.52236308859492,51.8,12,69.80749753930519,84.0,14,112.85958389730615,103.60000000000002,0.0,0.0,0.0,13.0,58.82498701888358,96.20000000000002,2.0,8.10223289883038,17.0,5.0,22.8791363045647,35.0,9,40.45137595840711,45.0,1.0,4.48521916411825,5.0,0.0,0.0,0.0,18,95.84317766398163,126.0,0.0,0.0,0.0,12.0,36.42187668691247,120.0,14,86.9665188570155,-28.0,9,54.70791188076978,-45.0,16,101.23867777028472,-32.0,3.0,17.07422527982181,-6.0,24,95.20118480001356,-48.0,3.0,17.373919883968192,-6.0,30,170.01278246181363,-120.0,1.0,1.9736842105263201,-4.0,3.0,15.065787124913511,-15.0,4.0,20.61329245161162,-20.0,4,18.257905965892718,-17.6,4.0,19.89913349269704,-28.0,2.0,20.848221608860943,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,42.84004131652103,-36.0,0.0,0.0,0.0,14.0,-112.0,0.0,0.0,0.0,1.0,3.97286821705426,-9.2,2,12.24284199363732,-10.0,39,134.257189084561,-195.0,0.0,0.0,0.0,5.0,12.927883865211538,-45.0,2.0,14.30350854946791,-18.0,2.0,11.134756251578679,-18.0,0.0,0.0,0.0,0.0,0.0,28,104.98644722377121,-280.0,0.0,0.0,0.0,4.0,20.21456213728625,-38.0,10.0,41.22876833966372,-100.0,0.0,0.0,0.0,4.0,19.138223918816585,-40.0
201106,2.7271666666666667,70,397.7290883623609,0.0,0.0,0.0,14,61.89018291019588,-5.6000000000000005,9,44.440939559431705,3.6,10,49.68273055335333,13.0,18.420901649014727,5.0,23.963950733197716,-10.0,3.0,17.7187883191789,1.0,8.974358974358971,3.4,79,470.01594249806544,237.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.95885346439911,6.8,2.0,15.247491638795989,-0.6,3.0,15.083091764292512,12.0,38,223.3509475722435,152.0,7.0,34.689919122319104,36.40000000000001,7.0,49.65121279465429,36.4,1.0,4.66058763931104,7.0,43,307.406994316288,172.0,99,563.1572717616552,99.0,5.0,19.25571694786709,5.0,199,1006.0971595920067,378.0999999999996,194,1014.2139390682868,543.2000000000008,4.0,18.00789865107452,20.0,14,69.33182727234352,98.0,28.0,288.86665896776424,98.0,72,474.22669832744833,244.80000000000027,0.0,0.0,0.0,0.0,0.0,0.0,37.0,258.38003049366085,296.0,15,72.50143324211584,90.0,3.0,13.976722623935151,19.200000000000006,12.0,79.24682441977225,88.8,12,75.55493567415066,84.0,7,44.66688063044842,51.8,0.0,0.0,0.0,2.0,9.63042168579692,14.8,0.0,0.0,0.0,1.0,7.189542483660129,7.0,13,56.94686448276038,65.0,2.0,12.917126651185802,10.0,0.0,0.0,0.0,18,83.56836768430114,126.0,0.0,0.0,0.0,2.0,8.21727837910893,20.0,12,56.27295252305258,-24.0,8,41.562823376650826,-40.0,25,154.75012933491004,-50.0,9.0,56.436847723055145,-18.0,18,63.00855490819125,-36.0,11.0,48.73826399693905,-22.0,13,67.57505398830564,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.307772475453906,-20.0,3,7.9579343902056205,-13.2,0.0,0.0,0.0,15.0,100.58726838181732,-97.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.664492701291557,-36.0,4.0,16.956394808779407,-16.0,2.0,7.30897009966778,-8.0,0.0,0.0,2.0,13.29113924050632,-14.0,4.0,9.615175496147051,-36.8,3,9.154924628412813,-15.0,60,200.98634922818752,-300.0,3.0,19.5,-15.0,9.0,20.162324681673688,-81.0,1.0,5.73248407643312,-9.0,2.0,4.936691989870714,-18.0,0.0,0.0,0.0,0.0,0.0,37,159.86192506867968,-370.0,0.0,0.0,0.0,6.0,34.36608659113203,-57.0,6.0,24.29864392922705,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
201107,2.721,152,800.2830843390669,3.0,11.032173936235113,-0.30000000000000004,42,195.08219347796054,-16.800000000000008,59,309.5666291694341,23.59999999999999,26,136.39327082634816,14.0,48.49115691986832,3.0,10.40779062690201,-6.0,5.0,31.563111396476213,1.0,4.82758620689655,3.4,98,525.5604272704649,294.0,1.0,2.08728942004494,3.4,1.0,3.07692307692308,3.2,13.0,106.94194682781885,44.19999999999999,13.0,58.87060262740701,-3.899999999999999,0.0,0.0,0.0,18,109.32335164776651,72.0,1.0,2.9962967119290695,5.2,5.0,28.14153574100523,26.0,3.0,15.031318982236519,21.0,52,320.90041332001323,208.0,98,554.3141221917907,98.0,37.0,173.31929988389615,37.0,110,610.9621968904713,209.0000000000003,100,557.4611075594207,280.0000000000004,3.0,11.955135087252364,15.0,66,431.8230265806287,462.0,4.0,24.46653724985459,14.0,94,592.2531999038223,319.5999999999998,5.0,28.403398898324795,17.5,0.0,0.0,0.0,36.0,213.66784000920606,288.0,34,224.07181024328582,204.0,1.0,3.5009861932938904,6.4,8.0,47.48324594041438,59.2,28,174.80022626324848,196.0,8,54.61766082583127,59.2,2.0,9.54912533859903,16.6,3.0,2.08728942004494,22.200000000000006,1.0,7.28744939271255,8.5,1.0,5.74545454545455,7.0,35,144.4267046528804,175.0,1.0,5.2665916760405,5.0,6.0,36.60130926795513,30.0,23,125.8257401372589,161.0,0.0,0.0,0.0,16.0,72.51639919683755,160.0,13,58.986371003680325,-26.0,20,120.99455319681948,-100.0,28,115.60795082669578,-56.0,9.0,43.35371872472452,-18.0,78,337.10968220653814,-156.0,8.0,39.586368409722255,-16.0,32,150.31366096979337,-128.0,4.0,21.71819753875534,-16.0,2.0,11.14982578397212,-10.0,4.0,18.34989150362749,-20.0,11,51.88106468997775,-48.39999999999999,2.0,9.039482555199731,-14.0,6.0,27.088190804367567,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,90.1425582183768,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.39475455774121,-36.8,50,118.24467901181248,-250.0,106,420.81321755940286,-530.0,50.0,230.2320997630977,-250.0,18.0,63.13198726070859,-162.0,4.0,14.339651718292501,-36.0,44.0,228.4124728225957,-396.0,1.0,-10.0,6.0,35.99284445058308,-60.0,73,319.9376557319584,-730.0,0.0,0.0,0.0,10.0,44.86416446657335,-95.0,18.0,62.75807744863927,-180.0,0.0,0.0,0.0,2.0,15.277777777777779,-20.0
201108,2.714833333333333,115,582.7685263806387,1.0,3.38983050847458,-0.1,20,113.57010987363962,-8.000000000000002,17,71.40831280457809,6.8000000000000025,14,74.52018770197941,14.0,48.166371232860364,2.0,5.78313253012048,-4.0,24.0,154.00649861495583,0.0,0.0,0.0,77,428.33665999249763,231.0,2.0,5.3130929791271395,6.8,1.0,7.240099009900991,3.2,10.0,65.64415322736514,33.99999999999999,0.0,0.0,0.0,7.0,48.13193963367922,28.0,19,91.76727327701329,76.0,4.0,20.30825988932159,20.8,2.0,10.19852082522382,10.4,0.0,0.0,0.0,44,280.0322946757027,176.0,35,213.01593329696468,35.0,6.0,29.930934205743384,6.0,165,886.014349438487,313.5000000000001,159,877.8365097320059,445.2000000000006,2.0,12.6376863260939,10.0,38,190.48294426344998,266.0,17.0,89.41370476237391,59.5,95,652.8852908123522,322.99999999999994,1.0,6.02564102564103,3.5,0.0,0.0,0.0,30.0,182.90970213787296,240.0,22,136.15500912076843,132.0,0.0,0.0,0.0,2.0,7.6271186440678,14.8,15,98.87621453300173,105.0,8,71.00604916831891,59.2,0.0,0.0,0.0,23.0,126.46111763083023,170.20000000000005,2.0,10.10770505385252,17.0,0.0,0.0,0.0,17,71.36945725870342,85.0,0.0,0.0,0.0,6.0,1.5625,30.0,23,133.26743710194776,161.0,3.0,15.57393809414928,27.0,6.0,23.19069548405654,56.0,31,120.18394412020392,-62.0,21,104.1289953228854,-105.0,13,68.60754268182072,-26.0,7.0,31.981168042656964,-14.0,41,195.8600502683161,-82.0,5.0,19.131594159288603,-10.0,21,95.16316062743084,-84.0,5.0,20.035140148445162,-20.0,2.0,10.3448275862069,-10.0,1.0,4.58452722063037,-5.0,7,34.45559563211893,-30.8,0.0,0.0,0.0,1.0,4.63960231980116,-6.5,2.0,12.18274111675128,-15.0,0.0,0.0,0.0,2.0,10.32405808347252,-14.4,5.0,31.689522213943338,-20.0,0.0,0.0,0.0,5.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,27,144.73777153866482,-135.0,116,398.8423541840277,-580.0,0.0,0.0,0.0,20.0,57.97073299328014,-180.0,1.0,4.130434782608701,-9.0,15.0,74.95094959243741,-141.5,2.0,-20.0,0.0,0.0,0.0,49,216.80571249874433,-490.0,0.0,0.0,0.0,13.0,56.98610161266287,-123.5,14.0,55.477698033504105,-140.0,5.0,16.36915859551346,-50.0,0.0,0.0,0.0
201109,2.708666666666667,160,735.2503462965951,0.0,0.0,0.0,12,50.320683081522745,-4.8,25,105.98125164309849,10.000000000000004,8,54.541433871125435,9.0,30.694907872779503,13.0,40.37386807872054,-26.0,4.0,22.563642999676908,0.0,0.0,0.0,68,424.4101338964222,204.0,0.0,0.0,0.0,1.0,7.4923547400611605,3.2,3.0,17.01979295177814,10.2,1.0,3.7926675094816695,-0.3,8.0,56.24792622618385,32.0,20,138.29345026526414,80.0,3.0,22.051282051282072,15.6,6.0,39.23312265151417,31.2,5.0,33.152233457088364,35.0,58,339.3913112886417,232.0,108,532.0980033132201,108.0,1.0,4.142011834319529,1.0,103,647.585617539479,195.70000000000027,89,545.3461355935178,249.20000000000027,0.0,0.0,0.0,71,456.9124902801939,497.0,10.0,48.08883193101853,35.0,56,392.4871249327044,190.40000000000015,6.0,35.289041169811476,21.0,0.0,0.0,0.0,7.0,59.16569828086553,56.0,28,139.0235486986885,168.0,4.0,17.77777777777776,25.6,0.0,0.0,0.0,4,21.95389776141787,28.0,14,122.57520423527114,103.6,3.0,17.15334937317968,24.9,12.0,58.002434053513184,88.80000000000003,0.0,0.0,0.0,3.0,15.253248682204829,21.0,9,48.42199778475014,45.0,3.0,13.891937852670631,15.0,0.0,0.0,0.0,32,188.4449831923312,224.0,0.0,0.0,0.0,5.0,31.83540651625757,47.0,19,95.3543809964999,-38.0,6,36.93886081938124,-30.0,32,142.96275117193716,-64.0,9.0,47.61861122252391,-18.0,35,151.38064774411518,-70.0,6.0,30.693477151129755,-12.0,22,127.54486718406342,-88.0,1.0,6.06531881804044,-4.0,1.0,3.9119804400977998,-5.0,0.0,0.0,0.0,22,103.1420555575125,-96.80000000000004,5.0,25.849411630853538,-35.0,6.0,43.87982787711471,-39.0,1.0,4.795486600846259,-7.5,7.0,37.07361489307503,-50.40000000000001,4.0,13.93944397597748,-28.8,13.0,84.64764602038913,-52.0,1.0,4.57380457380457,-4.0,0.0,0.0,1.0,6.95970695970696,-7.0,7.0,38.434573353432285,-64.4,12,66.14812478056956,-60.0,47,174.40463831611874,-235.0,0.0,0.0,0.0,17.0,55.47536736644525,-153.0,1.0,2.9147982062780295,-9.0,15.0,75.40013462926859,-136.5,1.0,-10.0,1.0,2.39520958083832,-10.0,117,469.0416816389383,-1170.0,0.0,0.0,0.0,11.0,45.63811578318167,-104.5,31.0,114.60970800063092,-310.0,2.0,5.2820144762878884,-20.0,0.0,0.0,0.0
